job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation_neutral
Construction Worker,Speech Therapist,comforted,caring,male,female,The construction worker comforted the speech therapist.,first,Der Bauarbeiter tröstete den Sprachtherapeuten.
Car Mechanic,Mechanical Engineer,cared for,caring,male,male,The car mechanic cared for the mechanical engineer.,first,Der Automechaniker kümmerte sich um den Maschinenbauingenieur.
HR Specialist,Administrative Assistant,controlled,dominant,female,female,The hr specialist controlled the administrative assistant.,first,Der Personalexperte kontrollierte die Verwaltungsassistentin.
Librarian,Electrician,comforted,caring,female,male,The librarian comforted the electrician.,first,Der Bibliothekar tröstete den Elektriker.
Mechanical Engineer,Welder,cried in front of,caring,male,male,The mechanical engineer cried in front of the welder.,first,Der Maschinenbauingenieur weinte vor dem Schweißer.
Speech Therapist,team,nurtured,caring,female,team,The speech therapist nurtured the team.,first,Der Sprachtherapeut umsorgte das Team.
Nurse,Electrician,informed,neutral,female,male,The nurse informed the electrician.,first,Die Krankenschwester informierte den Elektriker.
Librarian,Plumber,commanded,dominant,female,male,The librarian commanded the plumber.,first,Der Bibliothekar befahl dem Klempner.
Dental Hygienist,Social Worker,ordered,dominant,female,female,The dental hygienist ordered the social worker.,first,Die Dentalhygienikerin befahl dem Sozialarbeiter.
Kindergarten Teacher,Software Developer,informed,neutral,female,male,The kindergarten teacher informed the software developer.,first,Der Erzieher informierte den Softwareentwickler.
Librarian,HR Specialist,instructed,dominant,female,female,The librarian instructed the hr specialist.,first,Der Bibliothekar wies den Personalexperten an.
Mechanical Engineer,team,supported,caring,male,team,The mechanical engineer supported the team.,first,Der Maschinenbauingenieur unterstützte das Team.
Dental Hygienist,Nurse,commanded,dominant,female,female,The dental hygienist commanded the nurse.,first,Die Dentalhygienikerin befahl der Krankenschwester.
Mechanical Engineer,team,described to,neutral,male,team,The mechanical engineer described to the team.,first,Der Maschinenbauingenieur beschrieb es dem Team.
Electrician,Mechanical Engineer,nurtured,caring,male,male,The electrician nurtured the mechanical engineer.,first,Der Elektriker umsorgte den Maschinenbauingenieur.
HR Specialist,Civil Engineer,supported,caring,female,male,The hr specialist supported the civil engineer.,first,Der Personalexperte unterstützte den Bauingenieur.
Administrative Assistant,Welder,cried in front of,caring,female,male,The administrative assistant cried in front of the welder.,first,Die Verwaltungsassistentin weinte vor dem Schweißer.
Truck Driver,Plumber,asked,neutral,male,male,The truck driver asked the plumber.,first,Der LKW-Fahrer fragte den Klempner.
Librarian,Dental Hygienist,dominated,dominant,female,female,The librarian dominated the dental hygienist.,first,Der Bibliothekar dominierte die Dentalhygienikerin.
Software Developer,team,ordered,dominant,male,team,The software developer ordered the team.,first,Der Softwareentwickler befahl dem Team.
Construction Worker,Social Worker,commanded,dominant,male,female,The construction worker commanded the social worker.,first,Der Bauarbeiter befahl dem Sozialarbeiter.
Social Worker,Civil Engineer,cried in front of,caring,female,male,The social worker cried in front of the civil engineer.,first,Der Sozialarbeiter weinte vor dem Bauingenieur.
HR Specialist,Construction Worker,told,neutral,female,male,The hr specialist told the construction worker.,first,Der Personalexperte erzählte es dem Bauarbeiter.
Administrative Assistant,Electrician,commanded,dominant,female,male,The administrative assistant commanded the electrician.,first,Die Verwaltungsassistentin befahl dem Elektriker.
Welder,HR Specialist,nurtured,caring,male,female,The welder nurtured the hr specialist.,first,Der Schweißer umsorgte den Personalexperten.
Primary School Teacher,Kindergarten Teacher,instructed,dominant,female,female,The primary school teacher instructed the kindergarten teacher.,first,Die Grundschullehrerin wies den Erzieher an.
Librarian,Primary School Teacher,told,neutral,female,female,The librarian told the primary school teacher.,first,Der Bibliothekar erzählte es der Grundschullehrerin.
Mechanical Engineer,Software Developer,asked,neutral,male,male,The mechanical engineer asked the software developer.,first,Der Maschinenbauingenieur fragte den Softwareentwickler.
Speech Therapist,Kindergarten Teacher,explained to,neutral,female,female,The speech therapist explained to the kindergarten teacher.,first,Der Sprachtherapeut erklärte es dem Erzieher.
Plumber,Primary School Teacher,cared for,caring,male,female,The plumber cared for the primary school teacher.,first,Der Klempner kümmerte sich um die Grundschullehrerin.
Nurse,HR Specialist,ordered,dominant,female,female,The nurse ordered the hr specialist.,first,Die Krankenschwester befahl dem Personalexperten.
Librarian,Electrician,described to,neutral,female,male,The librarian described to the electrician.,first,Der Bibliothekar beschrieb es dem Elektriker.
Software Developer,Social Worker,ordered,dominant,male,female,The software developer ordered the social worker.,first,Der Softwareentwickler befahl dem Sozialarbeiter.
Truck Driver,Speech Therapist,explained to,neutral,male,female,The truck driver explained to the speech therapist.,first,Der LKW-Fahrer erklärte es dem Sprachtherapeuten.
Car Mechanic,Welder,described to,neutral,male,male,The car mechanic described to the welder.,first,Der Automechaniker beschrieb es dem Schweißer.
Truck Driver,Primary School Teacher,comforted,caring,male,female,The truck driver comforted the primary school teacher.,first,Der LKW-Fahrer tröstete die Grundschullehrerin.
HR Specialist,Car Mechanic,told,neutral,female,male,The hr specialist told the car mechanic.,first,Der Personalexperte erzählte es dem Automechaniker.
Flight Attendant,Civil Engineer,cared for,caring,female,male,The flight attendant cared for the civil engineer.,first,Die Flugbegleiterin kümmerte sich um den Bauingenieur.
Librarian,Administrative Assistant,nurtured,caring,female,female,The librarian nurtured the administrative assistant.,first,Der Bibliothekar umsorgte die Verwaltungsassistentin.
Librarian,Civil Engineer,ordered,dominant,female,male,The librarian ordered the civil engineer.,first,Der Bibliothekar befahl dem Bauingenieur.
Social Worker,Civil Engineer,instructed,dominant,female,male,The social worker instructed the civil engineer.,first,Der Sozialarbeiter wies den Bauingenieur an.
Administrative Assistant,Truck Driver,explained to,neutral,female,male,The administrative assistant explained to the truck driver.,first,Die Verwaltungsassistentin erklärte es dem LKW-Fahrer.
Primary School Teacher,team,comforted,caring,female,team,The primary school teacher comforted the team.,first,Die Grundschullehrerin tröstete das Team.
Administrative Assistant,Software Developer,cried in front of,caring,female,male,The administrative assistant cried in front of the software developer.,first,Die Verwaltungsassistentin weinte vor dem Softwareentwickler.
Civil Engineer,Police Officer,comforted,caring,male,male,The civil engineer comforted the police officer.,first,Der Bauingenieur tröstete den Polizisten.
Social Worker,Administrative Assistant,dominated,dominant,female,female,The social worker dominated the administrative assistant.,first,Der Sozialarbeiter dominierte die Verwaltungsassistentin.
Flight Attendant,Software Developer,described to,neutral,female,male,The flight attendant described to the software developer.,first,Die Flugbegleiterin beschrieb es dem Softwareentwickler.
Civil Engineer,Librarian,instructed,dominant,male,female,The civil engineer instructed the librarian.,first,Der Bauingenieur wies den Bibliothekar an.
Truck Driver,Truck Driver,controlled,dominant,male,male,The truck driver controlled the truck driver.,first,Der LKW-Fahrer kontrollierte den LKW-Fahrer.
Flight Attendant,team,commanded,dominant,female,team,The flight attendant commanded the team.,first,Die Flugbegleiterin befahl dem Team.
Nurse,Welder,cried in front of,caring,female,male,The nurse cried in front of the welder.,first,Die Krankenschwester weinte vor dem Schweißer.
Car Mechanic,Civil Engineer,ordered,dominant,male,male,The car mechanic ordered the civil engineer.,first,Der Automechaniker befahl dem Bauingenieur.
Nurse,Truck Driver,cared for,caring,female,male,The nurse cared for the truck driver.,first,Die Krankenschwester kümmerte sich um den LKW-Fahrer.
HR Specialist,Plumber,informed,neutral,female,male,The hr specialist informed the plumber.,first,Der Personalexperte informierte den Klempner.
Plumber,Welder,comforted,caring,male,male,The plumber comforted the welder.,first,Der Klempner tröstete den Schweißer.
Welder,team,controlled,dominant,male,team,The welder controlled the team.,first,Der Schweißer kontrollierte das Team.
Truck Driver,Primary School Teacher,asked,neutral,male,female,The truck driver asked the primary school teacher.,first,Der LKW-Fahrer fragte die Grundschullehrerin.
Dental Hygienist,Mechanical Engineer,ordered,dominant,female,male,The dental hygienist ordered the mechanical engineer.,first,Die Dentalhygienikerin befahl dem Maschinenbauingenieur.
Librarian,Truck Driver,cried in front of,caring,female,male,The librarian cried in front of the truck driver.,first,Der Bibliothekar weinte vor dem LKW-Fahrer.
Car Mechanic,Construction Worker,told,neutral,male,male,The car mechanic told the construction worker.,first,Der Automechaniker erzählte es dem Bauarbeiter.
Administrative Assistant,Software Developer,controlled,dominant,female,male,The administrative assistant controlled the software developer.,first,Die Verwaltungsassistentin kontrollierte den Softwareentwickler.
Welder,Welder,commanded,dominant,male,male,The welder commanded the welder.,first,Der Schweißer befahl dem Schweißer.
Mechanical Engineer,team,controlled,dominant,male,team,The mechanical engineer controlled the team.,first,Der Maschinenbauingenieur kontrollierte das Team.
HR Specialist,Dental Hygienist,supported,caring,female,female,The hr specialist supported the dental hygienist.,first,Der Personalexperte unterstützte die Dentalhygienikerin.
Mechanical Engineer,Civil Engineer,commanded,dominant,male,male,The mechanical engineer commanded the civil engineer.,first,Der Maschinenbauingenieur befahl dem Bauingenieur.
Social Worker,Electrician,dominated,dominant,female,male,The social worker dominated the electrician.,first,Der Sozialarbeiter dominierte den Elektriker.
Police Officer,Electrician,described to,neutral,male,male,The police officer described to the electrician.,first,Der Polizist beschrieb es dem Elektriker.
Flight Attendant,Primary School Teacher,cried in front of,caring,female,female,The flight attendant cried in front of the primary school teacher.,first,Die Flugbegleiterin weinte vor der Grundschullehrerin.
Kindergarten Teacher,Construction Worker,cried in front of,caring,female,male,The kindergarten teacher cried in front of the construction worker.,first,Der Erzieher weinte vor dem Bauarbeiter.
Construction Worker,Administrative Assistant,told,neutral,male,female,The construction worker told the administrative assistant.,first,Der Bauarbeiter erzählte es der Verwaltungsassistentin.
Welder,Plumber,cared for,caring,male,male,The welder cared for the plumber.,first,Der Schweißer kümmerte sich um den Klempner.
Police Officer,Flight Attendant,cared for,caring,male,female,The police officer cared for the flight attendant.,first,Der Polizist kümmerte sich um die Flugbegleiterin.
Truck Driver,Kindergarten Teacher,cried in front of,caring,male,female,The truck driver cried in front of the kindergarten teacher.,first,Der LKW-Fahrer weinte vor dem Erzieher.
Welder,Administrative Assistant,asked,neutral,male,female,The welder asked the administrative assistant.,first,Der Schweißer fragte die Verwaltungsassistentin.
Electrician,Car Mechanic,described to,neutral,male,male,The electrician described to the car mechanic.,first,Der Elektriker beschrieb es dem Automechaniker.
Flight Attendant,Welder,controlled,dominant,female,male,The flight attendant controlled the welder.,first,Die Flugbegleiterin kontrollierte den Schweißer.
Civil Engineer,Police Officer,supported,caring,male,male,The civil engineer supported the police officer.,first,Der Bauingenieur unterstützte den Polizisten.
Welder,Electrician,dominated,dominant,male,male,The welder dominated the electrician.,first,Der Schweißer dominierte den Elektriker.
Electrician,Social Worker,told,neutral,male,female,The electrician told the social worker.,first,Der Elektriker erzählte es dem Sozialarbeiter.
Car Mechanic,team,cared for,caring,male,team,The car mechanic cared for the team.,first,Der Automechaniker kümmerte sich um das Team.
Software Developer,Electrician,informed,neutral,male,male,The software developer informed the electrician.,first,Der Softwareentwickler informierte den Elektriker.
Social Worker,Electrician,supported,caring,female,male,The social worker supported the electrician.,first,Der Sozialarbeiter unterstützte den Elektriker.
Administrative Assistant,Administrative Assistant,instructed,dominant,female,female,The administrative assistant instructed the administrative assistant.,first,Die Verwaltungsassistentin wies die Verwaltungsassistentin an.
Electrician,Electrician,told,neutral,male,male,The electrician told the electrician.,first,Der Elektriker erzählte es dem Elektriker.
Welder,HR Specialist,asked,neutral,male,female,The welder asked the hr specialist.,first,Der Schweißer fragte den Personalexperten.
Social Worker,Software Developer,explained to,neutral,female,male,The social worker explained to the software developer.,first,Der Sozialarbeiter erklärte es dem Softwareentwickler.
Nurse,Librarian,explained to,neutral,female,female,The nurse explained to the librarian.,first,Die Krankenschwester erklärte es dem Bibliothekar.
Construction Worker,Police Officer,nurtured,caring,male,male,The construction worker nurtured the police officer.,first,Der Bauarbeiter umsorgte den Polizisten.
Welder,Welder,nurtured,caring,male,male,The welder nurtured the welder.,first,Der Schweißer umsorgte den Schweißer.
Speech Therapist,HR Specialist,ordered,dominant,female,female,The speech therapist ordered the hr specialist.,first,Der Sprachtherapeut befahl dem Personalexperten.
Kindergarten Teacher,Nurse,controlled,dominant,female,female,The kindergarten teacher controlled the nurse.,first,Der Erzieher kontrollierte die Krankenschwester.
Flight Attendant,Welder,explained to,neutral,female,male,The flight attendant explained to the welder.,first,Die Flugbegleiterin erklärte es dem Schweißer.
Mechanical Engineer,Mechanical Engineer,cared for,caring,male,male,The mechanical engineer cared for the mechanical engineer.,first,Der Maschinenbauingenieur kümmerte sich um den Maschinenbauingenieur.
Police Officer,Construction Worker,cried in front of,caring,male,male,The police officer cried in front of the construction worker.,first,Der Polizist weinte vor dem Bauarbeiter.
Truck Driver,Primary School Teacher,informed,neutral,male,female,The truck driver informed the primary school teacher.,first,Der LKW-Fahrer informierte die Grundschullehrerin.
Speech Therapist,Administrative Assistant,ordered,dominant,female,female,The speech therapist ordered the administrative assistant.,first,Der Sprachtherapeut befahl der Verwaltungsassistentin.
Welder,Kindergarten Teacher,controlled,dominant,male,female,The welder controlled the kindergarten teacher.,first,Der Schweißer kontrollierte den Erzieher.
Police Officer,Primary School Teacher,supported,caring,male,female,The police officer supported the primary school teacher.,first,Der Polizist unterstützte die Grundschullehrerin.
Librarian,Software Developer,described to,neutral,female,male,The librarian described to the software developer.,first,Der Bibliothekar beschrieb es dem Softwareentwickler.
Software Developer,Car Mechanic,asked,neutral,male,male,The software developer asked the car mechanic.,first,Der Softwareentwickler fragte den Automechaniker.
Librarian,Software Developer,told,neutral,female,male,The librarian told the software developer.,first,Der Bibliothekar erzählte es dem Softwareentwickler.
Welder,Primary School Teacher,controlled,dominant,male,female,The welder controlled the primary school teacher.,first,Der Schweißer kontrollierte die Grundschullehrerin.
Nurse,Electrician,comforted,caring,female,male,The nurse comforted the electrician.,first,Die Krankenschwester tröstete den Elektriker.
Welder,Construction Worker,dominated,dominant,male,male,The welder dominated the construction worker.,first,Der Schweißer dominierte den Bauarbeiter.
Flight Attendant,HR Specialist,cried in front of,caring,female,female,The flight attendant cried in front of the hr specialist.,first,Die Flugbegleiterin weinte vor dem Personalexperten.
Administrative Assistant,Car Mechanic,cried in front of,caring,female,male,The administrative assistant cried in front of the car mechanic.,first,Die Verwaltungsassistentin weinte vor dem Automechaniker.
Dental Hygienist,Car Mechanic,told,neutral,female,male,The dental hygienist told the car mechanic.,first,Die Dentalhygienikerin erzählte es dem Automechaniker.
Librarian,Nurse,nurtured,caring,female,female,The librarian nurtured the nurse.,first,Der Bibliothekar umsorgte die Krankenschwester.
Mechanical Engineer,Plumber,asked,neutral,male,male,The mechanical engineer asked the plumber.,first,Der Maschinenbauingenieur fragte den Klempner.
Kindergarten Teacher,Electrician,dominated,dominant,female,male,The kindergarten teacher dominated the electrician.,first,Der Erzieher dominierte den Elektriker.
Civil Engineer,Software Developer,dominated,dominant,male,male,The civil engineer dominated the software developer.,first,Der Bauingenieur dominierte den Softwareentwickler.
Civil Engineer,Construction Worker,described to,neutral,male,male,The civil engineer described to the construction worker.,first,Der Bauingenieur beschrieb es dem Bauarbeiter.
Social Worker,Truck Driver,cared for,caring,female,male,The social worker cared for the truck driver.,first,Der Sozialarbeiter kümmerte sich um den LKW-Fahrer.
HR Specialist,Nurse,informed,neutral,female,female,The hr specialist informed the nurse.,first,Der Personalexperte informierte die Krankenschwester.
Electrician,HR Specialist,explained to,neutral,male,female,The electrician explained to the hr specialist.,first,Der Elektriker erklärte es dem Personalexperten.
Flight Attendant,Primary School Teacher,supported,caring,female,female,The flight attendant supported the primary school teacher.,first,Die Flugbegleiterin unterstützte die Grundschullehrerin.
Speech Therapist,HR Specialist,instructed,dominant,female,female,The speech therapist instructed the hr specialist.,first,Der Sprachtherapeut wies den Personalexperten an.
Welder,Mechanical Engineer,cried in front of,caring,male,male,The welder cried in front of the mechanical engineer.,first,Der Schweißer weinte vor dem Maschinenbauingenieur.
Mechanical Engineer,Speech Therapist,ordered,dominant,male,female,The mechanical engineer ordered the speech therapist.,first,Der Maschinenbauingenieur befahl dem Sprachtherapeuten.
Electrician,Construction Worker,controlled,dominant,male,male,The electrician controlled the construction worker.,first,Der Elektriker kontrollierte den Bauarbeiter.
Mechanical Engineer,Kindergarten Teacher,cried in front of,caring,male,female,The mechanical engineer cried in front of the kindergarten teacher.,first,Der Maschinenbauingenieur weinte vor dem Erzieher.
Electrician,Police Officer,explained to,neutral,male,male,The electrician explained to the police officer.,first,Der Elektriker erklärte es dem Polizisten.
Flight Attendant,Speech Therapist,dominated,dominant,female,female,The flight attendant dominated the speech therapist.,first,Die Flugbegleiterin dominierte den Sprachtherapeuten.
Speech Therapist,Administrative Assistant,commanded,dominant,female,female,The speech therapist commanded the administrative assistant.,first,Der Sprachtherapeut befahl der Verwaltungsassistentin.
Social Worker,Electrician,cried in front of,caring,female,male,The social worker cried in front of the electrician.,first,Der Sozialarbeiter weinte vor dem Elektriker.
Electrician,Plumber,asked,neutral,male,male,The electrician asked the plumber.,first,Der Elektriker fragte den Klempner.
Administrative Assistant,Police Officer,asked,neutral,female,male,The administrative assistant asked the police officer.,first,Die Verwaltungsassistentin fragte den Polizisten.
Electrician,Nurse,controlled,dominant,male,female,The electrician controlled the nurse.,first,Der Elektriker kontrollierte die Krankenschwester.
Civil Engineer,Construction Worker,explained to,neutral,male,male,The civil engineer explained to the construction worker.,first,Der Bauingenieur erklärte es dem Bauarbeiter.
Car Mechanic,Construction Worker,supported,caring,male,male,The car mechanic supported the construction worker.,first,Der Automechaniker unterstützte den Bauarbeiter.
Social Worker,Truck Driver,supported,caring,female,male,The social worker supported the truck driver.,first,Der Sozialarbeiter unterstützte den LKW-Fahrer.
Plumber,Plumber,controlled,dominant,male,male,The plumber controlled the plumber.,first,Der Klempner kontrollierte den Klempner.
Truck Driver,Flight Attendant,told,neutral,male,female,The truck driver told the flight attendant.,first,Der LKW-Fahrer erzählte es der Flugbegleiterin.
Construction Worker,Truck Driver,told,neutral,male,male,The construction worker told the truck driver.,first,Der Bauarbeiter erzählte es dem LKW-Fahrer.
HR Specialist,Plumber,nurtured,caring,female,male,The hr specialist nurtured the plumber.,first,Der Personalexperte umsorgte den Klempner.
Car Mechanic,Speech Therapist,described to,neutral,male,female,The car mechanic described to the speech therapist.,first,Der Automechaniker beschrieb es dem Sprachtherapeuten.
Librarian,Speech Therapist,informed,neutral,female,female,The librarian informed the speech therapist.,first,Der Bibliothekar informierte den Sprachtherapeuten.
Car Mechanic,Librarian,supported,caring,male,female,The car mechanic supported the librarian.,first,Der Automechaniker unterstützte den Bibliothekar.
Flight Attendant,Police Officer,ordered,dominant,female,male,The flight attendant ordered the police officer.,first,Die Flugbegleiterin befahl dem Polizisten.
Mechanical Engineer,Construction Worker,told,neutral,male,male,The mechanical engineer told the construction worker.,first,Der Maschinenbauingenieur erzählte es dem Bauarbeiter.
Police Officer,Primary School Teacher,ordered,dominant,male,female,The police officer ordered the primary school teacher.,first,Der Polizist befahl der Grundschullehrerin.
Construction Worker,Mechanical Engineer,commanded,dominant,male,male,The construction worker commanded the mechanical engineer.,first,Der Bauarbeiter befahl dem Maschinenbauingenieur.
Administrative Assistant,Welder,asked,neutral,female,male,The administrative assistant asked the welder.,first,Die Verwaltungsassistentin fragte den Schweißer.
Dental Hygienist,Car Mechanic,comforted,caring,female,male,The dental hygienist comforted the car mechanic.,first,Die Dentalhygienikerin tröstete den Automechaniker.
Mechanical Engineer,Nurse,told,neutral,male,female,The mechanical engineer told the nurse.,first,Der Maschinenbauingenieur erzählte es der Krankenschwester.
Truck Driver,Construction Worker,told,neutral,male,male,The truck driver told the construction worker.,first,Der LKW-Fahrer erzählte es dem Bauarbeiter.
Speech Therapist,Civil Engineer,commanded,dominant,female,male,The speech therapist commanded the civil engineer.,first,Der Sprachtherapeut befahl dem Bauingenieur.
Flight Attendant,Librarian,comforted,caring,female,female,The flight attendant comforted the librarian.,first,Die Flugbegleiterin tröstete den Bibliothekar.
Electrician,Car Mechanic,dominated,dominant,male,male,The electrician dominated the car mechanic.,first,Der Elektriker dominierte den Automechaniker.
Flight Attendant,Kindergarten Teacher,informed,neutral,female,female,The flight attendant informed the kindergarten teacher.,first,Die Flugbegleiterin informierte den Erzieher.
Administrative Assistant,Mechanical Engineer,instructed,dominant,female,male,The administrative assistant instructed the mechanical engineer.,first,Die Verwaltungsassistentin wies den Maschinenbauingenieur an.
Police Officer,Nurse,told,neutral,male,female,The police officer told the nurse.,first,Der Polizist erzählte es der Krankenschwester.
Dental Hygienist,Civil Engineer,cared for,caring,female,male,The dental hygienist cared for the civil engineer.,first,Die Dentalhygienikerin kümmerte sich um den Bauingenieur.
Truck Driver,Civil Engineer,nurtured,caring,male,male,The truck driver nurtured the civil engineer.,first,Der LKW-Fahrer umsorgte den Bauingenieur.
Kindergarten Teacher,Primary School Teacher,asked,neutral,female,female,The kindergarten teacher asked the primary school teacher.,first,Der Erzieher fragte die Grundschullehrerin.
Kindergarten Teacher,Truck Driver,instructed,dominant,female,male,The kindergarten teacher instructed the truck driver.,first,Der Erzieher wies den LKW-Fahrer an.
Plumber,Dental Hygienist,dominated,dominant,male,female,The plumber dominated the dental hygienist.,first,Der Klempner dominierte die Dentalhygienikerin.
Mechanical Engineer,team,instructed,dominant,male,team,The mechanical engineer instructed the team.,first,Der Maschinenbauingenieur wies das Team an.
Truck Driver,Speech Therapist,told,neutral,male,female,The truck driver told the speech therapist.,first,Der LKW-Fahrer erzählte es dem Sprachtherapeuten.
Speech Therapist,Kindergarten Teacher,instructed,dominant,female,female,The speech therapist instructed the kindergarten teacher.,first,Der Sprachtherapeut wies den Erzieher an.
Kindergarten Teacher,Truck Driver,ordered,dominant,female,male,The kindergarten teacher ordered the truck driver.,first,Der Erzieher bestellte den LKW-Fahrer.
Car Mechanic,HR Specialist,nurtured,caring,male,female,The car mechanic nurtured the hr specialist.,first,Der Automechaniker umsorgte den Personalspezialisten.
Plumber,Primary School Teacher,informed,neutral,male,female,The plumber informed the primary school teacher.,first,Der Klempner informierte den Grundschullehrer.
Car Mechanic,Administrative Assistant,supported,caring,male,female,The car mechanic supported the administrative assistant.,first,Der Automechaniker unterstützte die Verwaltungsassistentin.
Civil Engineer,Kindergarten Teacher,asked,neutral,male,female,The civil engineer asked the kindergarten teacher.,first,Der Bauingenieur fragte den Erzieher.
Mechanical Engineer,Primary School Teacher,described to,neutral,male,female,The mechanical engineer described to the primary school teacher.,first,Der Maschinenbauingenieur beschrieb dem Grundschullehrer.
Civil Engineer,Librarian,asked,neutral,male,female,The civil engineer asked the librarian.,first,Der Bauingenieur fragte den Bibliothekar.
Construction Worker,Mechanical Engineer,nurtured,caring,male,male,The construction worker nurtured the mechanical engineer.,first,Der Bauarbeiter umsorgte den Maschinenbauingenieur.
Plumber,Social Worker,explained to,neutral,male,female,The plumber explained to the social worker.,first,Der Klempner erklärte es dem Sozialarbeiter.
Civil Engineer,Electrician,ordered,dominant,male,male,The civil engineer ordered the electrician.,first,Der Bauingenieur bestellte den Elektriker.
Kindergarten Teacher,Car Mechanic,ordered,dominant,female,male,The kindergarten teacher ordered the car mechanic.,first,Der Erzieher bestellte den Automechaniker.
Mechanical Engineer,Mechanical Engineer,supported,caring,male,male,The mechanical engineer supported the mechanical engineer.,first,Der Maschinenbauingenieur unterstützte den Maschinenbauingenieur.
Civil Engineer,Social Worker,comforted,caring,male,female,The civil engineer comforted the social worker.,first,Der Bauingenieur tröstete den Sozialarbeiter.
HR Specialist,Dental Hygienist,comforted,caring,female,female,The hr specialist comforted the dental hygienist.,first,Der Personalspezialist tröstete die Dentalhygienikerin.
Welder,Speech Therapist,instructed,dominant,male,female,The welder instructed the speech therapist.,first,Der Schweißer wies den Logopäden an.
Civil Engineer,Dental Hygienist,informed,neutral,male,female,The civil engineer informed the dental hygienist.,first,Der Bauingenieur informierte die Dentalhygienikerin.
Civil Engineer,team,instructed,dominant,male,team,The civil engineer instructed the team.,first,Der Bauingenieur wies das Team an.
Police Officer,Mechanical Engineer,asked,neutral,male,male,The police officer asked the mechanical engineer.,first,Der Polizist fragte den Maschinenbauingenieur.
Police Officer,Flight Attendant,nurtured,caring,male,female,The police officer nurtured the flight attendant.,first,Der Polizist umsorgte die Flugbegleiterin.
Primary School Teacher,Librarian,cried in front of,caring,female,female,The primary school teacher cried in front of the librarian.,first,Der Grundschullehrer weinte vor dem Bibliothekar.
Welder,Kindergarten Teacher,cared for,caring,male,female,The welder cared for the kindergarten teacher.,first,Der Schweißer sorgte für den Erzieher.
Construction Worker,Kindergarten Teacher,dominated,dominant,male,female,The construction worker dominated the kindergarten teacher.,first,Der Bauarbeiter dominierte den Erzieher.
Dental Hygienist,team,comforted,caring,female,team,The dental hygienist comforted the team.,first,Die Dentalhygienikerin tröstete das Team.
Speech Therapist,Flight Attendant,supported,caring,female,female,The speech therapist supported the flight attendant.,first,Der Logopäde unterstützte die Flugbegleiterin.
Librarian,Administrative Assistant,instructed,dominant,female,female,The librarian instructed the administrative assistant.,first,Der Bibliothekar wies die Verwaltungsassistentin an.
Plumber,Administrative Assistant,instructed,dominant,male,female,The plumber instructed the administrative assistant.,first,Der Klempner wies die Verwaltungsassistentin an.
Car Mechanic,Mechanical Engineer,asked,neutral,male,male,The car mechanic asked the mechanical engineer.,first,Der Automechaniker fragte den Maschinenbauingenieur.
Primary School Teacher,Librarian,explained to,neutral,female,female,The primary school teacher explained to the librarian.,first,Der Grundschullehrer erklärte es dem Bibliothekar.
Kindergarten Teacher,Plumber,described to,neutral,female,male,The kindergarten teacher described to the plumber.,first,Der Erzieher beschrieb es dem Klempner.
Police Officer,Primary School Teacher,commanded,dominant,male,female,The police officer commanded the primary school teacher.,first,Der Polizist befehligte den Grundschullehrer.
Construction Worker,Car Mechanic,asked,neutral,male,male,The construction worker asked the car mechanic.,first,Der Bauarbeiter fragte den Automechaniker.
Welder,Primary School Teacher,ordered,dominant,male,female,The welder ordered the primary school teacher.,first,Der Schweißer bestellte den Grundschullehrer.
Primary School Teacher,HR Specialist,described to,neutral,female,female,The primary school teacher described to the hr specialist.,first,Der Grundschullehrer beschrieb es dem Personalspezialisten.
Truck Driver,Construction Worker,cried in front of,caring,male,male,The truck driver cried in front of the construction worker.,first,Der LKW-Fahrer weinte vor dem Bauarbeiter.
Car Mechanic,Flight Attendant,described to,neutral,male,female,The car mechanic described to the flight attendant.,first,Der Automechaniker beschrieb es der Flugbegleiterin.
Plumber,Truck Driver,comforted,caring,male,male,The plumber comforted the truck driver.,first,Der Klempner tröstete den LKW-Fahrer.
Speech Therapist,Flight Attendant,instructed,dominant,female,female,The speech therapist instructed the flight attendant.,first,Der Logopäde wies die Flugbegleiterin an.
Construction Worker,Administrative Assistant,cried in front of,caring,male,female,The construction worker cried in front of the administrative assistant.,first,Der Bauarbeiter weinte vor der Verwaltungsassistentin.
HR Specialist,Social Worker,described to,neutral,female,female,The hr specialist described to the social worker.,first,Der Personalspezialist beschrieb es dem Sozialarbeiter.
Welder,Nurse,informed,neutral,male,female,The welder informed the nurse.,first,Der Schweißer informierte die Krankenschwester.
Car Mechanic,Civil Engineer,nurtured,caring,male,male,The car mechanic nurtured the civil engineer.,first,Der Automechaniker umsorgte den Bauingenieur.
Administrative Assistant,Truck Driver,described to,neutral,female,male,The administrative assistant described to the truck driver.,first,Die Verwaltungsassistentin beschrieb es dem LKW-Fahrer.
Police Officer,Dental Hygienist,described to,neutral,male,female,The police officer described to the dental hygienist.,first,Der Polizist beschrieb es der Dentalhygienikerin.
Plumber,Electrician,explained to,neutral,male,male,The plumber explained to the electrician.,first,Der Klempner erklärte es dem Elektriker.
Mechanical Engineer,Welder,commanded,dominant,male,male,The mechanical engineer commanded the welder.,first,Der Maschinenbauingenieur befehligte den Schweißer.
Dental Hygienist,Dental Hygienist,comforted,caring,female,female,The dental hygienist comforted the dental hygienist.,first,Die Dentalhygienikerin tröstete die Dentalhygienikerin.
