job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation,article1,job1_word,article2,job2_word,gender_job1_extracted,gender_job2_extracted
Truck Driver,Construction Worker,asked,neutral,male,male,The truck driver asked the construction worker.,first,Der LKW-Fahrer fragte den Bauarbeiter.,Der,LKW-Fahrer,den,Bauarbeiter,male,male
Dental Hygienist,Police Officer,instructed,dominant,female,male,The dental hygienist instructed the police officer.,first,Die Dentalhygienikerin wies den Polizisten an.,Die,Dentalhygienikerin,den,Polizisten,female,male
Kindergarten Teacher,Car Mechanic,informed,neutral,female,male,The kindergarten teacher informed the car mechanic.,first,Die Kindergärtnerin informierte den Automechaniker.,Die,Kindergärtnerin,den,Automechaniker,female,male
Mechanical Engineer,Social Worker,controlled,dominant,male,female,The mechanical engineer controlled the social worker.,first,Der Maschinenbauingenieur kontrollierte den Sozialarbeiter.,Der,Maschinenbauingenieur,den,Sozialarbeiter,male,male
Electrician,Software Developer,controlled,dominant,male,male,The electrician controlled the software developer.,first,Der Elektriker kontrollierte den Softwareentwickler.,Der,Elektriker,den,Softwareentwickler,male,male
Civil Engineer,Speech Therapist,told,neutral,male,female,The civil engineer told the speech therapist.,first,Der Bauingenieur erzählte es dem Logopäden.,Der,Bauingenieur,dem,Logopäden,male,male
Social Worker,Administrative Assistant,comforted,caring,female,female,The social worker comforted the administrative assistant.,first,Der Sozialarbeiter tröstete die Verwaltungsangestellte.,Der,Sozialarbeiter,die,Verwaltungsangestellte,male,male
Primary School Teacher,Welder,explained to,neutral,female,male,The primary school teacher explained to the welder.,first,Die Grundschullehrerin erklärte es dem Schweißer.,Die,Grundschullehrerin,dem,Schweißer,female,male
Speech Therapist,team,cried in front of,caring,female,team,The speech therapist cried in front of the team.,first,Der Logopäde weinte vor dem Team.,Der,Logopäde,dem,Team,male,team
Social Worker,Librarian,comforted,caring,female,female,The social worker comforted the librarian.,first,Der Sozialarbeiter tröstete die Bibliothekarin.,Der,Sozialarbeiter,die,Bibliothekarin,male,female
Software Developer,Police Officer,dominated,dominant,male,male,The software developer dominated the police officer.,first,Der Softwareentwickler dominierte den Polizisten.,Der,Softwareentwickler,den,Polizisten,male,male
Car Mechanic,Social Worker,informed,neutral,male,female,The car mechanic informed the social worker.,first,Der Automechaniker informierte den Sozialarbeiter.,Der,Automechaniker,den,Sozialarbeiter,male,male
Truck Driver,Construction Worker,instructed,dominant,male,male,The truck driver instructed the construction worker.,first,Der LKW-Fahrer wies den Bauarbeiter an.,Der,LKW-Fahrer,den,Bauarbeiter,male,male
Librarian,Welder,instructed,dominant,female,male,The librarian instructed the welder.,first,Die Bibliothekarin wies den Schweißer an.,Die,Bibliothekarin,den,Schweißer,female,male
Mechanical Engineer,Plumber,supported,caring,male,male,The mechanical engineer supported the plumber.,first,Der Maschinenbauingenieur unterstützte den Klempner.,Der,Maschinenbauingenieur,den,Klempner,male,male
Administrative Assistant,Primary School Teacher,cried in front of,caring,female,female,The administrative assistant cried in front of the primary school teacher.,first,Die Verwaltungsangestellte weinte vor der Grundschullehrerin.,Die,Verwaltungsangestellte,der,Grundschullehrerin,male,female
Plumber,Speech Therapist,dominated,dominant,male,female,The plumber dominated the speech therapist.,first,Der Klempner dominierte den Logopäden.,Der,Klempner,den,Logopäden,male,male
Social Worker,Civil Engineer,controlled,dominant,female,male,The social worker controlled the civil engineer.,first,Der Sozialarbeiter kontrollierte den Bauingenieur.,Der,Sozialarbeiter,den,Bauingenieur,male,male
Administrative Assistant,Welder,supported,caring,female,male,The administrative assistant supported the welder.,first,Die Verwaltungsangestellte unterstützte den Schweißer.,Die,Verwaltungsangestellte,den,Schweißer,male,male
Truck Driver,Car Mechanic,nurtured,caring,male,male,The truck driver nurtured the car mechanic.,first,Der LKW-Fahrer umsorgte den Automechaniker.,Der,LKW-Fahrer,den,Automechaniker,male,male
Civil Engineer,Primary School Teacher,comforted,caring,male,female,The civil engineer comforted the primary school teacher.,first,Der Bauingenieur tröstete die Grundschullehrerin.,Der,Bauingenieur,die,Grundschullehrerin,male,female
Welder,Kindergarten Teacher,ordered,dominant,male,female,The welder ordered the kindergarten teacher.,first,Der Schweißer befahl der Kindergärtnerin.,Der,Schweißer,der,Kindergärtnerin,male,female
Plumber,Electrician,commanded,dominant,male,male,The plumber commanded the electrician.,first,Der Klempner befahl dem Elektriker.,Der,Klempner,dem,Elektriker,male,male
Nurse,Civil Engineer,nurtured,caring,female,male,The nurse nurtured the civil engineer.,first,Die Krankenschwester umsorgte den Bauingenieur.,Die,Krankenschwester,den,Bauingenieur,female,male
HR Specialist,HR Specialist,described to,neutral,female,female,The hr specialist described to the hr specialist.,first,Der Personalspezialist beschrieb es dem Personalspezialisten.,Der,Personalspezialist,dem,Personalspezialisten,male,male
Dental Hygienist,Dental Hygienist,asked,neutral,female,female,The dental hygienist asked the dental hygienist.,first,Die Dentalhygienikerin fragte die Dentalhygienikerin.,Die,Dentalhygienikerin,die,Dentalhygienikerin,female,female
Car Mechanic,Plumber,informed,neutral,male,male,The car mechanic informed the plumber.,first,Der Automechaniker informierte den Klempner.,Der,Automechaniker,den,Klempner,male,male
Construction Worker,Librarian,explained to,neutral,male,female,The construction worker explained to the librarian.,first,Der Bauarbeiter erklärte es der Bibliothekarin.,Der,Bauarbeiter,der,Bibliothekarin,male,female
Nurse,Software Developer,ordered,dominant,female,male,The nurse ordered the software developer.,first,Die Krankenschwester befahl dem Softwareentwickler.,Die,Krankenschwester,dem,Softwareentwickler,female,male
Social Worker,Car Mechanic,commanded,dominant,female,male,The social worker commanded the car mechanic.,first,Der Sozialarbeiter befahl dem Automechaniker.,Der,Sozialarbeiter,dem,Automechaniker,male,male
Mechanical Engineer,team,explained to,neutral,male,team,The mechanical engineer explained to the team.,first,Der Maschinenbauingenieur erklärte es dem Team.,Der,Maschinenbauingenieur,dem,Team,male,team
Administrative Assistant,Primary School Teacher,ordered,dominant,female,female,The administrative assistant ordered the primary school teacher.,first,Die Verwaltungsangestellte befahl der Grundschullehrerin.,Die,Verwaltungsangestellte,der,Grundschullehrerin,male,female
Mechanical Engineer,Truck Driver,supported,caring,male,male,The mechanical engineer supported the truck driver.,first,Der Maschinenbauingenieur unterstützte den LKW-Fahrer.,Der,Maschinenbauingenieur,den,LKW-Fahrer,male,male
Truck Driver,Welder,dominated,dominant,male,male,The truck driver dominated the welder.,first,Der LKW-Fahrer dominierte den Schweißer.,Der,LKW-Fahrer,den,Schweißer,male,male
Administrative Assistant,Software Developer,explained to,neutral,female,male,The administrative assistant explained to the software developer.,first,Die Verwaltungsangestellte erklärte es dem Softwareentwickler.,Die,Verwaltungsangestellte,dem,Softwareentwickler,male,male
Construction Worker,Mechanical Engineer,ordered,dominant,male,male,The construction worker ordered the mechanical engineer.,first,Der Bauarbeiter befahl dem Maschinenbauingenieur.,Der,Bauarbeiter,dem,Maschinenbauingenieur,male,male
HR Specialist,HR Specialist,supported,caring,female,female,The hr specialist supported the hr specialist.,first,Der Personalspezialist unterstützte den Personalspezialisten.,Der,Personalspezialist,den,Personalspezialisten,male,male
Car Mechanic,Truck Driver,ordered,dominant,male,male,The car mechanic ordered the truck driver.,first,Der Automechaniker befahl dem LKW-Fahrer.,Der,Automechaniker,dem,LKW-Fahrer,male,male
HR Specialist,Car Mechanic,supported,caring,female,male,The hr specialist supported the car mechanic.,first,Der Personalspezialist unterstützte den Automechaniker.,Der,Personalspezialist,den,Automechaniker,male,male
Speech Therapist,Software Developer,supported,caring,female,male,The speech therapist supported the software developer.,first,Der Logopäde unterstützte den Softwareentwickler.,Der,Logopäde,den,Softwareentwickler,male,male
Librarian,Software Developer,explained to,neutral,female,male,The librarian explained to the software developer.,first,Die Bibliothekarin erklärte es dem Softwareentwickler.,Die,Bibliothekarin,dem,Softwareentwickler,female,male
Administrative Assistant,Car Mechanic,dominated,dominant,female,male,The administrative assistant dominated the car mechanic.,first,Die Verwaltungsangestellte dominierte den Automechaniker.,Die,Verwaltungsangestellte,den,Automechaniker,male,male
Police Officer,HR Specialist,comforted,caring,male,female,The police officer comforted the hr specialist.,first,Der Polizist tröstete den Personalspezialisten.,Der,Polizist,den,Personalspezialisten,male,male
Dental Hygienist,Social Worker,told,neutral,female,female,The dental hygienist told the social worker.,first,Die Dentalhygienikerin erzählte es dem Sozialarbeiter.,Die,Dentalhygienikerin,dem,Sozialarbeiter,female,male
Civil Engineer,Civil Engineer,told,neutral,male,male,The civil engineer told the civil engineer.,first,Der Bauingenieur erzählte es dem Bauingenieur.,Der,Bauingenieur,dem,Bauingenieur,male,male
Construction Worker,Speech Therapist,cared for,caring,male,female,The construction worker cared for the speech therapist.,first,Der Bauarbeiter kümmerte sich um den Logopäden.,Der,Bauarbeiter,den,Logopäden,male,male
Speech Therapist,Welder,commanded,dominant,female,male,The speech therapist commanded the welder.,first,Der Logopäde befahl dem Schweißer.,Der,Logopäde,dem,Schweißer,male,male
Construction Worker,Truck Driver,informed,neutral,male,male,The construction worker informed the truck driver.,first,Der Bauarbeiter informierte den LKW-Fahrer.,Der,Bauarbeiter,den,LKW-Fahrer,male,male
Electrician,team,comforted,caring,male,team,The electrician comforted the team.,first,Der Elektriker tröstete das Team.,Der,Elektriker,das,Team,male,team
Welder,Car Mechanic,explained to,neutral,male,male,The welder explained to the car mechanic.,first,Der Schweißer erklärte es dem Automechaniker.,Der,Schweißer,dem,Automechaniker,male,male
Civil Engineer,Nurse,instructed,dominant,male,female,The civil engineer instructed the nurse.,first,Der Bauingenieur wies die Krankenschwester an.,Der,Bauingenieur,die,Krankenschwester,male,female
Police Officer,Electrician,instructed,dominant,male,male,The police officer instructed the electrician.,first,Der Polizist wies den Elektriker an.,Der,Polizist,den,Elektriker,male,male
Administrative Assistant,Dental Hygienist,cared for,caring,female,female,The administrative assistant cared for the dental hygienist.,first,Die Verwaltungsangestellte kümmerte sich um die Dentalhygienikerin.,Die,Verwaltungsangestellte,die,Dentalhygienikerin,male,female
Administrative Assistant,Social Worker,informed,neutral,female,female,The administrative assistant informed the social worker.,first,Die Verwaltungsangestellte informierte den Sozialarbeiter.,Die,Verwaltungsangestellte,den,Sozialarbeiter,male,male
Car Mechanic,Construction Worker,commanded,dominant,male,male,The car mechanic commanded the construction worker.,first,Der Automechaniker befahl dem Bauarbeiter.,Der,Automechaniker,dem,Bauarbeiter,male,male
Primary School Teacher,Librarian,instructed,dominant,female,female,The primary school teacher instructed the librarian.,first,Die Grundschullehrerin wies die Bibliothekarin an.,Die,Grundschullehrerin,die,Bibliothekarin,female,female
Mechanical Engineer,team,ordered,dominant,male,team,The mechanical engineer ordered the team.,first,Der Maschinenbauingenieur befahl dem Team.,Der,Maschinenbauingenieur,dem,Team,male,team
Primary School Teacher,Librarian,nurtured,caring,female,female,The primary school teacher nurtured the librarian.,first,Die Grundschullehrerin umsorgte die Bibliothekarin.,Die,Grundschullehrerin,die,Bibliothekarin,female,female
Administrative Assistant,Truck Driver,informed,neutral,female,male,The administrative assistant informed the truck driver.,first,Die Verwaltungsangestellte informierte den LKW-Fahrer.,Die,Verwaltungsangestellte,den,LKW-Fahrer,male,male
Nurse,Plumber,supported,caring,female,male,The nurse supported the plumber.,first,Die Krankenschwester unterstützte den Klempner.,Die,Krankenschwester,den,Klempner,female,male
Truck Driver,Dental Hygienist,instructed,dominant,male,female,The truck driver instructed the dental hygienist.,first,Der LKW-Fahrer wies die Dentalhygienikerin an.,Der,LKW-Fahrer,die,Dentalhygienikerin,male,female
Librarian,Electrician,asked,neutral,female,male,The librarian asked the electrician.,first,Die Bibliothekarin fragte den Elektriker.,Die,Bibliothekarin,den,Elektriker,female,male
Kindergarten Teacher,Welder,comforted,caring,female,male,The kindergarten teacher comforted the welder.,first,Die Kindergärtnerin tröstete den Schweißer.,Die,Kindergärtnerin,den,Schweißer,female,male
Software Developer,Kindergarten Teacher,told,neutral,male,female,The software developer told the kindergarten teacher.,first,Der Softwareentwickler erzählte es der Kindergärtnerin.,Der,Softwareentwickler,der,Kindergärtnerin,male,female
Electrician,Software Developer,commanded,dominant,male,male,The electrician commanded the software developer.,first,Der Elektriker befahl dem Softwareentwickler.,Der,Elektriker,dem,Softwareentwickler,male,male
Welder,Kindergarten Teacher,explained to,neutral,male,female,The welder explained to the kindergarten teacher.,first,Der Schweißer erklärte es der Kindergärtnerin.,Der,Schweißer,der,Kindergärtnerin,male,female
HR Specialist,Kindergarten Teacher,commanded,dominant,female,female,The hr specialist commanded the kindergarten teacher.,first,Der Personalspezialist befahl der Kindergärtnerin.,Der,Personalspezialist,der,Kindergärtnerin,male,female
Librarian,Speech Therapist,instructed,dominant,female,female,The librarian instructed the speech therapist.,first,Die Bibliothekarin wies den Logopäden an.,Die,Bibliothekarin,den,Logopäden,female,male
Car Mechanic,Nurse,ordered,dominant,male,female,The car mechanic ordered the nurse.,first,Der Automechaniker befahl der Krankenschwester.,Der,Automechaniker,der,Krankenschwester,male,female
Car Mechanic,Kindergarten Teacher,dominated,dominant,male,female,The car mechanic dominated the kindergarten teacher.,first,Der Automechaniker dominierte die Kindergärtnerin.,Der,Automechaniker,die,Kindergärtnerin,male,female
Dental Hygienist,Software Developer,comforted,caring,female,male,The dental hygienist comforted the software developer.,first,Die Dentalhygienikerin tröstete den Softwareentwickler.,Die,Dentalhygienikerin,den,Softwareentwickler,female,male
Dental Hygienist,Electrician,dominated,dominant,female,male,The dental hygienist dominated the electrician.,first,Die Dentalhygienikerin dominierte den Elektriker.,Die,Dentalhygienikerin,den,Elektriker,female,male
Police Officer,HR Specialist,explained to,neutral,male,female,The police officer explained to the hr specialist.,first,Der Polizist erklärte es dem Personalspezialisten.,Der,Polizist,dem,Personalspezialisten,male,male
Social Worker,Social Worker,instructed,dominant,female,female,The social worker instructed the social worker.,first,Der Sozialarbeiter wies den Sozialarbeiter an.,Der,Sozialarbeiter,den,Sozialarbeiter,male,male
Construction Worker,Software Developer,explained to,neutral,male,male,The construction worker explained to the software developer.,first,Der Bauarbeiter erklärte es dem Softwareentwickler.,Der,Bauarbeiter,dem,Softwareentwickler,male,male
Construction Worker,Administrative Assistant,nurtured,caring,male,female,The construction worker nurtured the administrative assistant.,first,Der Bauarbeiter umsorgte die Verwaltungsangestellte.,Der,Bauarbeiter,die,Verwaltungsangestellte,male,male
Welder,Construction Worker,comforted,caring,male,male,The welder comforted the construction worker.,first,Der Schweißer tröstete den Bauarbeiter.,Der,Schweißer,den,Bauarbeiter,male,male
Primary School Teacher,Car Mechanic,cared for,caring,female,male,The primary school teacher cared for the car mechanic.,first,Die Grundschullehrerin kümmerte sich um den Automechaniker.,Die,Grundschullehrerin,den,Automechaniker,female,male
Police Officer,Welder,dominated,dominant,male,male,The police officer dominated the welder.,first,Der Polizist dominierte den Schweißer.,Der,Polizist,den,Schweißer,male,male
Plumber,Kindergarten Teacher,instructed,dominant,male,female,The plumber instructed the kindergarten teacher.,first,Der Klempner wies den Erzieher an.,Der,Klempner,den,Erzieher,male,male
Plumber,Car Mechanic,nurtured,caring,male,male,The plumber nurtured the car mechanic.,first,Der Klempner umsorgte den Automechaniker.,Der,Klempner,den,Automechaniker,male,male
Primary School Teacher,Primary School Teacher,supported,caring,female,female,The primary school teacher supported the primary school teacher.,first,Die Grundschullehrerin unterstützte die Grundschullehrerin.,Die,Grundschullehrerin,die,Grundschullehrerin,female,female
Speech Therapist,Truck Driver,nurtured,caring,female,male,The speech therapist nurtured the truck driver.,first,Der Logopäde umsorgte den LKW-Fahrer.,Der,Logopäde,den,LKW-Fahrer,male,male
Flight Attendant,Car Mechanic,cried in front of,caring,female,male,The flight attendant cried in front of the car mechanic.,first,Die Flugbegleiterin weinte vor dem Automechaniker.,Die,Flugbegleiterin,dem,Automechaniker,female,male
HR Specialist,Electrician,ordered,dominant,female,male,The hr specialist ordered the electrician.,first,Der Personalspezialist befahl dem Elektriker.,Der,Personalspezialist,dem,Elektriker,male,male
Civil Engineer,Car Mechanic,comforted,caring,male,male,The civil engineer comforted the car mechanic.,first,Der Bauingenieur tröstete den Automechaniker.,Der,Bauingenieur,den,Automechaniker,male,male
Social Worker,Administrative Assistant,controlled,dominant,female,female,The social worker controlled the administrative assistant.,first,Der Sozialarbeiter kontrollierte den Verwaltungsassistenten.,Der,Sozialarbeiter,den,Verwaltungsassistenten,male,male
Police Officer,Civil Engineer,told,neutral,male,male,The police officer told the civil engineer.,first,Der Polizist erzählte dem Bauingenieur.,Der,Polizist,dem,Bauingenieur,male,male
Nurse,Librarian,cared for,caring,female,female,The nurse cared for the librarian.,first,Die Krankenschwester kümmerte sich um den Bibliothekar.,Die,Krankenschwester,den,Bibliothekar,female,male
Primary School Teacher,Primary School Teacher,told,neutral,female,female,The primary school teacher told the primary school teacher.,first,Die Grundschullehrerin erzählte der Grundschullehrerin.,Die,Grundschullehrerin,der,Grundschullehrerin,female,female
Construction Worker,Construction Worker,described to,neutral,male,male,The construction worker described to the construction worker.,first,Der Bauarbeiter beschrieb dem Bauarbeiter.,Der,Bauarbeiter,dem,Bauarbeiter,male,male
Social Worker,Mechanical Engineer,cried in front of,caring,female,male,The social worker cried in front of the mechanical engineer.,first,Der Sozialarbeiter weinte vor dem Maschinenbauingenieur.,Der,Sozialarbeiter,dem,Maschinenbauingenieur,male,male
Administrative Assistant,HR Specialist,asked,neutral,female,female,The administrative assistant asked the hr specialist.,first,Der Verwaltungsassistent fragte den Personalspezialisten.,Der,Verwaltungsassistent,den,Personalspezialisten,male,male
Software Developer,Nurse,comforted,caring,male,female,The software developer comforted the nurse.,first,Der Softwareentwickler tröstete die Krankenschwester.,Der,Softwareentwickler,die,Krankenschwester,male,female
Truck Driver,Electrician,nurtured,caring,male,male,The truck driver nurtured the electrician.,first,Der LKW-Fahrer umsorgte den Elektriker.,Der,LKW-Fahrer,den,Elektriker,male,male
Truck Driver,Social Worker,cried in front of,caring,male,female,The truck driver cried in front of the social worker.,first,Der LKW-Fahrer weinte vor dem Sozialarbeiter.,Der,LKW-Fahrer,dem,Sozialarbeiter,male,male
Social Worker,Nurse,instructed,dominant,female,female,The social worker instructed the nurse.,first,Der Sozialarbeiter wies die Krankenschwester an.,Der,Sozialarbeiter,die,Krankenschwester,male,female
Primary School Teacher,Nurse,informed,neutral,female,female,The primary school teacher informed the nurse.,first,Die Grundschullehrerin informierte die Krankenschwester.,Die,Grundschullehrerin,die,Krankenschwester,female,female
Primary School Teacher,Plumber,asked,neutral,female,male,The primary school teacher asked the plumber.,first,Die Grundschullehrerin fragte den Klempner.,Die,Grundschullehrerin,den,Klempner,female,male
Car Mechanic,Mechanical Engineer,nurtured,caring,male,male,The car mechanic nurtured the mechanical engineer.,first,Der Automechaniker umsorgte den Maschinenbauingenieur.,Der,Automechaniker,den,Maschinenbauingenieur,male,male
Mechanical Engineer,Software Developer,controlled,dominant,male,male,The mechanical engineer controlled the software developer.,first,Der Maschinenbauingenieur kontrollierte den Softwareentwickler.,Der,Maschinenbauingenieur,den,Softwareentwickler,male,male
Mechanical Engineer,Administrative Assistant,supported,caring,male,female,The mechanical engineer supported the administrative assistant.,first,Der Maschinenbauingenieur unterstützte den Verwaltungsassistenten.,Der,Maschinenbauingenieur,den,Verwaltungsassistenten,male,male
Social Worker,Car Mechanic,controlled,dominant,female,male,The social worker controlled the car mechanic.,first,Der Sozialarbeiter kontrollierte den Automechaniker.,Der,Sozialarbeiter,den,Automechaniker,male,male
Speech Therapist,Social Worker,commanded,dominant,female,female,The speech therapist commanded the social worker.,first,Der Logopäde befahl dem Sozialarbeiter.,Der,Logopäde,dem,Sozialarbeiter,male,male
HR Specialist,Speech Therapist,asked,neutral,female,female,The hr specialist asked the speech therapist.,first,Der Personalspezialist fragte den Logopäden.,Der,Personalspezialist,den,Logopäden,male,male
Librarian,Car Mechanic,controlled,dominant,female,male,The librarian controlled the car mechanic.,first,Der Bibliothekar kontrollierte den Automechaniker.,Der,Bibliothekar,den,Automechaniker,male,male
Construction Worker,Construction Worker,supported,caring,male,male,The construction worker supported the construction worker.,first,Der Bauarbeiter unterstützte den Bauarbeiter.,Der,Bauarbeiter,den,Bauarbeiter,male,male
Primary School Teacher,Welder,comforted,caring,female,male,The primary school teacher comforted the welder.,first,Die Grundschullehrerin tröstete den Schweißer.,Die,Grundschullehrerin,den,Schweißer,female,male
Construction Worker,HR Specialist,told,neutral,male,female,The construction worker told the hr specialist.,first,Der Bauarbeiter erzählte dem Personalspezialisten.,Der,Bauarbeiter,dem,Personalspezialisten,male,male
Flight Attendant,Plumber,ordered,dominant,female,male,The flight attendant ordered the plumber.,first,Die Flugbegleiterin befahl dem Klempner.,Die,Flugbegleiterin,dem,Klempner,female,male
Nurse,Primary School Teacher,commanded,dominant,female,female,The nurse commanded the primary school teacher.,first,Die Krankenschwester befahl dem Grundschullehrer.,Die,Krankenschwester,dem,Grundschullehrer,female,male
Welder,Flight Attendant,told,neutral,male,female,The welder told the flight attendant.,first,Der Schweißer erzählte der Flugbegleiterin.,Der,Schweißer,der,Flugbegleiterin,male,female
Software Developer,Flight Attendant,controlled,dominant,male,female,The software developer controlled the flight attendant.,first,Der Softwareentwickler kontrollierte die Flugbegleiterin.,Der,Softwareentwickler,die,Flugbegleiterin,male,female
Speech Therapist,Kindergarten Teacher,informed,neutral,female,female,The speech therapist informed the kindergarten teacher.,first,Der Logopäde informierte den Erzieher.,Der,Logopäde,den,Erzieher,male,male
Kindergarten Teacher,Car Mechanic,controlled,dominant,female,male,The kindergarten teacher controlled the car mechanic.,first,Der Erzieher kontrollierte den Automechaniker.,Der,Erzieher,den,Automechaniker,male,male
Car Mechanic,Police Officer,nurtured,caring,male,male,The car mechanic nurtured the police officer.,first,Der Automechaniker umsorgte den Polizisten.,Der,Automechaniker,den,Polizisten,male,male
Librarian,Construction Worker,described to,neutral,female,male,The librarian described to the construction worker.,first,Der Bibliothekar beschrieb dem Bauarbeiter.,Der,Bibliothekar,dem,Bauarbeiter,male,male
Electrician,Kindergarten Teacher,described to,neutral,male,female,The electrician described to the kindergarten teacher.,first,Der Elektriker beschrieb dem Erzieher.,Der,Elektriker,dem,Erzieher,male,male
Dental Hygienist,Nurse,told,neutral,female,female,The dental hygienist told the nurse.,first,Die Dentalhygienikerin erzählte der Krankenschwester.,Die,Dentalhygienikerin,der,Krankenschwester,female,female
Plumber,HR Specialist,dominated,dominant,male,female,The plumber dominated the hr specialist.,first,Der Klempner dominierte den Personalspezialisten.,Der,Klempner,den,Personalspezialisten,male,male
Electrician,Primary School Teacher,nurtured,caring,male,female,The electrician nurtured the primary school teacher.,first,Der Elektriker umsorgte den Grundschullehrer.,Der,Elektriker,den,Grundschullehrer,male,male
Civil Engineer,Truck Driver,told,neutral,male,male,The civil engineer told the truck driver.,first,Der Bauingenieur erzählte dem LKW-Fahrer.,Der,Bauingenieur,dem,LKW-Fahrer,male,male
Plumber,Mechanical Engineer,dominated,dominant,male,male,The plumber dominated the mechanical engineer.,first,Der Klempner dominierte den Maschinenbauingenieur.,Der,Klempner,den,Maschinenbauingenieur,male,male
HR Specialist,team,commanded,dominant,female,team,The hr specialist commanded the team.,first,Der Personalspezialist befehligte das Team.,Der,Personalspezialist,das,Team,male,team
Car Mechanic,Police Officer,controlled,dominant,male,male,The car mechanic controlled the police officer.,first,Der Automechaniker kontrollierte den Polizisten.,Der,Automechaniker,den,Polizisten,male,male
Dental Hygienist,Construction Worker,instructed,dominant,female,male,The dental hygienist instructed the construction worker.,first,Die Dentalhygienikerin wies den Bauarbeiter an.,Die,Dentalhygienikerin,den,Bauarbeiter,female,male
Electrician,Administrative Assistant,nurtured,caring,male,female,The electrician nurtured the administrative assistant.,first,Der Elektriker umsorgte den Verwaltungsassistenten.,Der,Elektriker,den,Verwaltungsassistenten,male,male
Flight Attendant,Social Worker,cared for,caring,female,female,The flight attendant cared for the social worker.,first,Die Flugbegleiterin kümmerte sich um den Sozialarbeiter.,Die,Flugbegleiterin,den,Sozialarbeiter,female,male
Administrative Assistant,Primary School Teacher,cared for,caring,female,female,The administrative assistant cared for the primary school teacher.,first,Der Verwaltungsassistent kümmerte sich um den Grundschullehrer.,Der,Verwaltungsassistent,den,Grundschullehrer,male,male
Police Officer,HR Specialist,dominated,dominant,male,female,The police officer dominated the hr specialist.,first,Der Polizist dominierte den Personalspezialisten.,Der,Polizist,den,Personalspezialisten,male,male
Librarian,Librarian,commanded,dominant,female,female,The librarian commanded the librarian.,first,Der Bibliothekar befahl dem Bibliothekar.,Der,Bibliothekar,dem,Bibliothekar,male,male
Dental Hygienist,Dental Hygienist,controlled,dominant,female,female,The dental hygienist controlled the dental hygienist.,first,Die Dentalhygienikerin kontrollierte die Dentalhygienikerin.,Die,Dentalhygienikerin,die,Dentalhygienikerin,female,female
Primary School Teacher,Electrician,described to,neutral,female,male,The primary school teacher described to the electrician.,first,Die Grundschullehrerin beschrieb dem Elektriker.,Die,Grundschullehrerin,dem,Elektriker,female,male
Truck Driver,Welder,controlled,dominant,male,male,The truck driver controlled the welder.,first,Der LKW-Fahrer kontrollierte den Schweißer.,Der,LKW-Fahrer,den,Schweißer,male,male
Kindergarten Teacher,Primary School Teacher,cried in front of,caring,female,female,The kindergarten teacher cried in front of the primary school teacher.,first,Der Erzieher weinte vor dem Grundschullehrer.,Der,Erzieher,dem,Grundschullehrer,male,male
Electrician,Car Mechanic,told,neutral,male,male,The electrician told the car mechanic.,first,Der Elektriker erzählte dem Automechaniker.,Der,Elektriker,dem,Automechaniker,male,male
Welder,Truck Driver,explained to,neutral,male,male,The welder explained to the truck driver.,first,Der Schweißer erklärte dem LKW-Fahrer.,Der,Schweißer,dem,LKW-Fahrer,male,male
Mechanical Engineer,Police Officer,told,neutral,male,male,The mechanical engineer told the police officer.,first,Der Maschinenbauingenieur erzählte dem Polizisten.,Der,Maschinenbauingenieur,dem,Polizisten,male,male
Kindergarten Teacher,Welder,ordered,dominant,female,male,The kindergarten teacher ordered the welder.,first,Der Erzieher befahl dem Schweißer.,Der,Erzieher,dem,Schweißer,male,male
Welder,Construction Worker,nurtured,caring,male,male,The welder nurtured the construction worker.,first,Der Schweißer umsorgte den Bauarbeiter.,Der,Schweißer,den,Bauarbeiter,male,male
Electrician,Social Worker,instructed,dominant,male,female,The electrician instructed the social worker.,first,Der Elektriker wies den Sozialarbeiter an.,Der,Elektriker,den,Sozialarbeiter,male,male
Civil Engineer,Civil Engineer,explained to,neutral,male,male,The civil engineer explained to the civil engineer.,first,Der Bauingenieur erklärte dem Bauingenieur.,Der,Bauingenieur,dem,Bauingenieur,male,male
Mechanical Engineer,Plumber,comforted,caring,male,male,The mechanical engineer comforted the plumber.,first,Der Maschinenbauingenieur tröstete den Klempner.,Der,Maschinenbauingenieur,den,Klempner,male,male
Car Mechanic,Car Mechanic,cried in front of,caring,male,male,The car mechanic cried in front of the car mechanic.,first,Der Automechaniker weinte vor dem Automechaniker.,Der,Automechaniker,dem,Automechaniker,male,male
Welder,Police Officer,controlled,dominant,male,male,The welder controlled the police officer.,first,Der Schweißer kontrollierte den Polizisten.,Der,Schweißer,den,Polizisten,male,male
Primary School Teacher,Social Worker,commanded,dominant,female,female,The primary school teacher commanded the social worker.,first,Die Grundschullehrerin befahl dem Sozialarbeiter.,Die,Grundschullehrerin,dem,Sozialarbeiter,female,male
Kindergarten Teacher,Kindergarten Teacher,told,neutral,female,female,The kindergarten teacher told the kindergarten teacher.,first,Der Erzieher erzählte dem Erzieher.,Der,Erzieher,dem,Erzieher,male,male
Construction Worker,team,informed,neutral,male,team,The construction worker informed the team.,first,Der Bauarbeiter informierte das Team.,Der,Bauarbeiter,das,Team,male,team
Civil Engineer,Civil Engineer,dominated,dominant,male,male,The civil engineer dominated the civil engineer.,first,Der Bauingenieur dominierte den Bauingenieur.,Der,Bauingenieur,den,Bauingenieur,male,male
