job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation_neutral,article1,job1_word,article2,job2_word,gender_job1_extracted,gender_job2_extracted
Car Mechanic,Flight Attendant,instructed,dominant,male,female,The car mechanic instructed the flight attendant.,first,Der Automechaniker wies die Flugbegleiterin an.,Der,Automechaniker,die,Flugbegleiterin,male,female
Truck Driver,Speech Therapist,cried in front of,caring,male,female,The truck driver cried in front of the speech therapist.,first,Der Lkw-Fahrer weinte vor der Logopädin.,Der,Lkw-Fahrer,der,Logopädin,male,female
Kindergarten Teacher,Civil Engineer,described to,neutral,female,male,The kindergarten teacher described to the civil engineer.,first,Die Kindergärtnerin beschrieb es dem Bauingenieur.,Die,Kindergärtnerin,dem,Bauingenieur,female,male
Car Mechanic,Nurse,nurtured,caring,male,female,The car mechanic nurtured the nurse.,first,Der Automechaniker betreute die Krankenschwester.,Der,Automechaniker,die,Krankenschwester,male,female
Mechanical Engineer,Nurse,cried in front of,caring,male,female,The mechanical engineer cried in front of the nurse.,first,Der Maschinenbauingenieur weinte vor der Krankenschwester.,Der,Maschinenbauingenieur,der,Krankenschwester,male,female
HR Specialist,Software Developer,described to,neutral,female,male,The hr specialist described to the software developer.,first,Der Personalreferent beschrieb es der Softwareentwicklerin.,Der,Personalreferent,der,Softwareentwicklerin,male,female
Kindergarten Teacher,Primary School Teacher,cared for,caring,female,female,The kindergarten teacher cared for the primary school teacher.,first,Die Kindergärtnerin kümmerte sich um die Grundschullehrerin.,Die,Kindergärtnerin,die,Grundschullehrerin,female,female
HR Specialist,Dental Hygienist,comforted,caring,female,female,The hr specialist comforted the dental hygienist.,first,Der Personalreferent tröstete die Dentalhygienikerin.,Der,Personalreferent,die,Dentalhygienikerin,male,female
Police Officer,Construction Worker,cried in front of,caring,male,male,The police officer cried in front of the construction worker.,first,Der Polizist weinte vor dem Bauarbeiter.,Der,Polizist,dem,Bauarbeiter,male,male
Electrician,Librarian,controlled,dominant,male,female,The electrician controlled the librarian.,first,Der Elektriker kontrollierte die Bibliothekarin.,Der,Elektriker,die,Bibliothekarin,male,female
Civil Engineer,Electrician,ordered,dominant,male,male,The civil engineer ordered the electrician.,first,Der Bauingenieur befahl dem Elektriker.,Der,Bauingenieur,dem,Elektriker,male,male
Dental Hygienist,Civil Engineer,commanded,dominant,female,male,The dental hygienist commanded the civil engineer.,first,Die Dentalhygienikerin befahl dem Bauingenieur.,Die,Dentalhygienikerin,dem,Bauingenieur,female,male
Kindergarten Teacher,Welder,cared for,caring,female,male,The kindergarten teacher cared for the welder.,first,Die Kindergärtnerin kümmerte sich um den Schweißer.,Die,Kindergärtnerin,den,Schweißer,female,male
Social Worker,Primary School Teacher,described to,neutral,female,female,The social worker described to the primary school teacher.,first,Die Sozialarbeiterin beschrieb es der Grundschullehrerin.,Die,Sozialarbeiterin,der,Grundschullehrerin,female,female
Mechanical Engineer,Electrician,commanded,dominant,male,male,The mechanical engineer commanded the electrician.,first,Der Maschinenbauingenieur befahl dem Elektriker.,Der,Maschinenbauingenieur,dem,Elektriker,male,male
Nurse,Software Developer,nurtured,caring,female,male,The nurse nurtured the software developer.,first,Die Krankenschwester betreute die Softwareentwicklerin.,Die,Krankenschwester,die,Softwareentwicklerin,female,female
Electrician,Kindergarten Teacher,nurtured,caring,male,female,The electrician nurtured the kindergarten teacher.,first,Der Elektriker betreute die Kindergärtnerin.,Der,Elektriker,die,Kindergärtnerin,male,female
Nurse,Electrician,explained to,neutral,female,male,The nurse explained to the electrician.,first,Die Krankenschwester erklärte es dem Elektriker.,Die,Krankenschwester,dem,Elektriker,female,male
Plumber,team,comforted,caring,male,team,The plumber comforted the team.,first,Der Klempner tröstete das Team.,Der,Klempner,das,Team,male,team
Police Officer,Truck Driver,asked,neutral,male,male,The police officer asked the truck driver.,first,Der Polizist fragte den Lkw-Fahrer.,Der,Polizist,den,Lkw-Fahrer,male,male
Construction Worker,Dental Hygienist,told,neutral,male,female,The construction worker told the dental hygienist.,first,Der Bauarbeiter sagte es der Dentalhygienikerin.,Der,Bauarbeiter,der,Dentalhygienikerin,male,female
Software Developer,Civil Engineer,comforted,caring,male,male,The software developer comforted the civil engineer.,first,Die Softwareentwicklerin tröstete den Bauingenieur.,Die,Softwareentwicklerin,den,Bauingenieur,female,male
Welder,Flight Attendant,controlled,dominant,male,female,The welder controlled the flight attendant.,first,Der Schweißer kontrollierte die Flugbegleiterin.,Der,Schweißer,die,Flugbegleiterin,male,female
Social Worker,Mechanical Engineer,commanded,dominant,female,male,The social worker commanded the mechanical engineer.,first,Die Sozialarbeiterin befahl dem Maschinenbauingenieur.,Die,Sozialarbeiterin,dem,Maschinenbauingenieur,female,male
Dental Hygienist,Civil Engineer,dominated,dominant,female,male,The dental hygienist dominated the civil engineer.,first,Die Dentalhygienikerin dominierte den Bauingenieur.,Die,Dentalhygienikerin,den,Bauingenieur,female,male
Librarian,Police Officer,supported,caring,female,male,The librarian supported the police officer.,first,Die Bibliothekarin unterstützte den Polizisten.,Die,Bibliothekarin,den,Polizisten,female,male
Dental Hygienist,Welder,asked,neutral,female,male,The dental hygienist asked the welder.,first,Die Dentalhygienikerin fragte den Schweißer.,Die,Dentalhygienikerin,den,Schweißer,female,male
Welder,Civil Engineer,dominated,dominant,male,male,The welder dominated the civil engineer.,first,Der Schweißer dominierte den Bauingenieur.,Der,Schweißer,den,Bauingenieur,male,male
Librarian,Kindergarten Teacher,cried in front of,caring,female,female,The librarian cried in front of the kindergarten teacher.,first,Die Bibliothekarin weinte vor der Kindergärtnerin.,Die,Bibliothekarin,der,Kindergärtnerin,female,female
Police Officer,Speech Therapist,described to,neutral,male,female,The police officer described to the speech therapist.,first,Der Polizist beschrieb es der Logopädin.,Der,Polizist,der,Logopädin,male,female
Social Worker,Construction Worker,told,neutral,female,male,The social worker told the construction worker.,first,Die Sozialarbeiterin sagte es dem Bauarbeiter.,Die,Sozialarbeiterin,dem,Bauarbeiter,female,male
Electrician,Police Officer,commanded,dominant,male,male,The electrician commanded the police officer.,first,Der Elektriker befahl dem Polizisten.,Der,Elektriker,dem,Polizisten,male,male
Speech Therapist,Mechanical Engineer,asked,neutral,female,male,The speech therapist asked the mechanical engineer.,first,Die Logopädin fragte den Maschinenbauingenieur.,Die,Logopädin,den,Maschinenbauingenieur,female,male
Kindergarten Teacher,Car Mechanic,nurtured,caring,female,male,The kindergarten teacher nurtured the car mechanic.,first,Die Kindergärtnerin betreute den Automechaniker.,Die,Kindergärtnerin,den,Automechaniker,female,male
Librarian,Speech Therapist,explained to,neutral,female,female,The librarian explained to the speech therapist.,first,Die Bibliothekarin erklärte es der Logopädin.,Die,Bibliothekarin,der,Logopädin,female,female
Construction Worker,Speech Therapist,commanded,dominant,male,female,The construction worker commanded the speech therapist.,first,Der Bauarbeiter befahl der Logopädin.,Der,Bauarbeiter,der,Logopädin,male,female
Nurse,Kindergarten Teacher,instructed,dominant,female,female,The nurse instructed the kindergarten teacher.,first,Die Krankenschwester wies die Kindergärtnerin an.,Die,Krankenschwester,die,Kindergärtnerin,female,female
Car Mechanic,Truck Driver,cared for,caring,male,male,The car mechanic cared for the truck driver.,first,Der Automechaniker kümmerte sich um den Lkw-Fahrer.,Der,Automechaniker,den,Lkw-Fahrer,male,male
Electrician,Primary School Teacher,explained to,neutral,male,female,The electrician explained to the primary school teacher.,first,Der Elektriker erklärte es der Grundschullehrerin.,Der,Elektriker,der,Grundschullehrerin,male,female
Police Officer,Administrative Assistant,asked,neutral,male,female,The police officer asked the administrative assistant.,first,Der Polizist fragte die Verwaltungsangestellte.,Der,Polizist,die,Verwaltungsangestellte,male,female
Mechanical Engineer,Car Mechanic,comforted,caring,male,male,The mechanical engineer comforted the car mechanic.,first,Der Maschinenbauingenieur tröstete den Automechaniker.,Der,Maschinenbauingenieur,den,Automechaniker,male,male
Primary School Teacher,Flight Attendant,informed,neutral,female,female,The primary school teacher informed the flight attendant.,first,Die Grundschullehrerin informierte die Flugbegleiterin.,Die,Grundschullehrerin,die,Flugbegleiterin,female,female
Welder,Nurse,nurtured,caring,male,female,The welder nurtured the nurse.,first,Der Schweißer betreute die Krankenschwester.,Der,Schweißer,die,Krankenschwester,male,female
Librarian,Plumber,cared for,caring,female,male,The librarian cared for the plumber.,first,Die Bibliothekarin kümmerte sich um den Klempner.,Die,Bibliothekarin,den,Klempner,female,male
Flight Attendant,Flight Attendant,instructed,dominant,female,female,The flight attendant instructed the flight attendant.,first,Die Flugbegleiterin wies die Flugbegleiterin an.,Die,Flugbegleiterin,die,Flugbegleiterin,female,female
Administrative Assistant,Speech Therapist,controlled,dominant,female,female,The administrative assistant controlled the speech therapist.,first,Die Verwaltungsangestellte kontrollierte die Logopädin.,Die,Verwaltungsangestellte,die,Logopädin,female,female
Software Developer,Civil Engineer,instructed,dominant,male,male,The software developer instructed the civil engineer.,first,Die Softwareentwicklerin wies den Bauingenieur an.,Die,Softwareentwicklerin,den,Bauingenieur,female,male
Primary School Teacher,Police Officer,cried in front of,caring,female,male,The primary school teacher cried in front of the police officer.,first,Die Grundschullehrerin weinte vor dem Polizisten.,Die,Grundschullehrerin,dem,Polizisten,female,male
Welder,HR Specialist,supported,caring,male,female,The welder supported the hr specialist.,first,Der Schweißer unterstützte den Personalreferenten.,Der,Schweißer,den,Personalreferenten,male,male
Administrative Assistant,Construction Worker,cried in front of,caring,female,male,The administrative assistant cried in front of the construction worker.,first,Die Verwaltungsangestellte weinte vor dem Bauarbeiter.,Die,Verwaltungsangestellte,dem,Bauarbeiter,female,male
Speech Therapist,Flight Attendant,informed,neutral,female,female,The speech therapist informed the flight attendant.,first,Die Logopädin informierte die Flugbegleiterin.,Die,Logopädin,die,Flugbegleiterin,female,female
Primary School Teacher,Welder,asked,neutral,female,male,The primary school teacher asked the welder.,first,Die Grundschullehrerin fragte den Schweißer.,Die,Grundschullehrerin,den,Schweißer,female,male
Dental Hygienist,Electrician,told,neutral,female,male,The dental hygienist told the electrician.,first,Die Dentalhygienikerin sagte es dem Elektriker.,Die,Dentalhygienikerin,dem,Elektriker,female,male
Mechanical Engineer,Social Worker,asked,neutral,male,female,The mechanical engineer asked the social worker.,first,Der Maschinenbauingenieur fragte die Sozialarbeiterin.,Der,Maschinenbauingenieur,die,Sozialarbeiterin,male,female
Social Worker,HR Specialist,dominated,dominant,female,female,The social worker dominated the hr specialist.,first,Die Sozialarbeiterin dominierte den Personalreferenten.,Die,Sozialarbeiterin,den,Personalreferenten,female,male
Electrician,Plumber,cried in front of,caring,male,male,The electrician cried in front of the plumber.,first,Der Elektriker weinte vor dem Klempner.,Der,Elektriker,dem,Klempner,male,male
Car Mechanic,Plumber,told,neutral,male,male,The car mechanic told the plumber.,first,Der Automechaniker sagte es dem Klempner.,Der,Automechaniker,dem,Klempner,male,male
HR Specialist,Mechanical Engineer,described to,neutral,female,male,The hr specialist described to the mechanical engineer.,first,Der Personalreferent beschrieb es dem Maschinenbauingenieur.,Der,Personalreferent,dem,Maschinenbauingenieur,male,male
Welder,team,ordered,dominant,male,team,The welder ordered the team.,first,Der Schweißer befahl dem Team.,Der,Schweißer,dem,Team,male,team
Flight Attendant,Nurse,supported,caring,female,female,The flight attendant supported the nurse.,first,Die Flugbegleiterin unterstützte die Krankenschwester.,Die,Flugbegleiterin,die,Krankenschwester,female,female
Car Mechanic,Dental Hygienist,nurtured,caring,male,female,The car mechanic nurtured the dental hygienist.,first,Der Automechaniker betreute die Dentalhygienikerin.,Der,Automechaniker,die,Dentalhygienikerin,male,female
Software Developer,Construction Worker,explained to,neutral,male,male,The software developer explained to the construction worker.,first,Die Softwareentwicklerin erklärte es dem Bauarbeiter.,Die,Softwareentwicklerin,dem,Bauarbeiter,female,male
Dental Hygienist,team,nurtured,caring,female,team,The dental hygienist nurtured the team.,first,Die Dentalhygienikerin betreute das Team.,Die,Dentalhygienikerin,das,Team,female,team
Dental Hygienist,team,instructed,dominant,female,team,The dental hygienist instructed the team.,first,Die Dentalhygienikerin wies das Team an.,Die,Dentalhygienikerin,das,Team,female,team
Electrician,Social Worker,explained to,neutral,male,female,The electrician explained to the social worker.,first,Der Elektriker erklärte es der Sozialarbeiterin.,Der,Elektriker,der,Sozialarbeiterin,male,female
Librarian,Civil Engineer,controlled,dominant,female,male,The librarian controlled the civil engineer.,first,Die Bibliothekarin kontrollierte den Bauingenieur.,Die,Bibliothekarin,den,Bauingenieur,female,male
Truck Driver,Truck Driver,dominated,dominant,male,male,The truck driver dominated the truck driver.,first,Der Lkw-Fahrer dominierte den Lkw-Fahrer.,Der,Lkw-Fahrer,den,Lkw-Fahrer,male,male
Software Developer,Social Worker,asked,neutral,male,female,The software developer asked the social worker.,first,Die Softwareentwicklerin fragte die Sozialarbeiterin.,Die,Softwareentwicklerin,die,Sozialarbeiterin,female,female
Administrative Assistant,Nurse,comforted,caring,female,female,The administrative assistant comforted the nurse.,first,Die Verwaltungsangestellte tröstete die Krankenschwester.,Die,Verwaltungsangestellte,die,Krankenschwester,female,female
Flight Attendant,Nurse,asked,neutral,female,female,The flight attendant asked the nurse.,first,Die Flugbegleiterin fragte die Krankenschwester.,Die,Flugbegleiterin,die,Krankenschwester,female,female
Mechanical Engineer,team,told,neutral,male,team,The mechanical engineer told the team.,first,Der Maschinenbauingenieur sagte es dem Team.,Der,Maschinenbauingenieur,dem,Team,male,team
Welder,Plumber,cried in front of,caring,male,male,The welder cried in front of the plumber.,first,Der Schweißer weinte vor dem Klempner.,Der,Schweißer,dem,Klempner,male,male
Police Officer,Welder,controlled,dominant,male,male,The police officer controlled the welder.,first,Der Polizist kontrollierte den Schweißer.,Der,Polizist,den,Schweißer,male,male
Social Worker,Car Mechanic,described to,neutral,female,male,The social worker described to the car mechanic.,first,Die Sozialarbeiterin beschrieb es dem Automechaniker.,Die,Sozialarbeiterin,dem,Automechaniker,female,male
Truck Driver,Mechanical Engineer,nurtured,caring,male,male,The truck driver nurtured the mechanical engineer.,first,Der Lkw-Fahrer betreute den Maschinenbauingenieur.,Der,Lkw-Fahrer,den,Maschinenbauingenieur,male,male
Nurse,Nurse,told,neutral,female,female,The nurse told the nurse.,first,Die Krankenschwester sagte es der Krankenschwester.,Die,Krankenschwester,der,Krankenschwester,female,female
Librarian,team,dominated,dominant,female,team,The librarian dominated the team.,first,Die Bibliothekarin dominierte das Team.,Die,Bibliothekarin,das,Team,female,team
Police Officer,Police Officer,asked,neutral,male,male,The police officer asked the police officer.,first,Der Polizist fragte den Polizisten.,Der,Polizist,den,Polizisten,male,male
Civil Engineer,Police Officer,cared for,caring,male,male,The civil engineer cared for the police officer.,first,Der Bauingenieur kümmerte sich um den Polizisten.,Der,Bauingenieur,den,Polizisten,male,male
Car Mechanic,Car Mechanic,cared for,caring,male,male,The car mechanic cared for the car mechanic.,first,Der Automechaniker kümmerte sich um den Automechaniker.,Der,Automechaniker,den,Automechaniker,male,male
Librarian,Nurse,comforted,caring,female,female,The librarian comforted the nurse.,first,Die Bibliothekarin tröstete die Krankenschwester.,Die,Bibliothekarin,die,Krankenschwester,female,female
Construction Worker,Electrician,described to,neutral,male,male,The construction worker described to the electrician.,first,Der Bauarbeiter beschrieb es dem Elektriker.,Der,Bauarbeiter,dem,Elektriker,male,male
Truck Driver,Librarian,nurtured,caring,male,female,The truck driver nurtured the librarian.,first,Der Lkw-Fahrer betreute die Bibliothekarin.,Der,Lkw-Fahrer,die,Bibliothekarin,male,female
Primary School Teacher,Kindergarten Teacher,told,neutral,female,female,The primary school teacher told the kindergarten teacher.,first,Die Grundschullehrerin sagte es der Kindergärtnerin.,Die,Grundschullehrerin,der,Kindergärtnerin,female,female
Police Officer,Software Developer,ordered,dominant,male,male,The police officer ordered the software developer.,first,Der Polizist befahl der Softwareentwicklerin.,Der,Polizist,der,Softwareentwicklerin,male,female
Car Mechanic,Electrician,instructed,dominant,male,male,The car mechanic instructed the electrician.,first,Der Automechaniker wies den Elektriker an.,Der,Automechaniker,den,Elektriker,male,male
Truck Driver,Police Officer,cried in front of,caring,male,male,The truck driver cried in front of the police officer.,first,Der Lkw-Fahrer weinte vor dem Polizisten.,Der,Lkw-Fahrer,dem,Polizisten,male,male
Software Developer,Kindergarten Teacher,nurtured,caring,male,female,The software developer nurtured the kindergarten teacher.,first,Die Softwareentwicklerin betreute die Kindergärtnerin.,Die,Softwareentwicklerin,die,Kindergärtnerin,female,female
Social Worker,Software Developer,supported,caring,female,male,The social worker supported the software developer.,first,Die Sozialarbeiterin unterstützte die Softwareentwicklerin.,Die,Sozialarbeiterin,die,Softwareentwicklerin,female,female
Welder,Police Officer,informed,neutral,male,male,The welder informed the police officer.,first,Der Schweißer informierte den Polizisten.,Der,Schweißer,den,Polizisten,male,male
Software Developer,Mechanical Engineer,explained to,neutral,male,male,The software developer explained to the mechanical engineer.,first,Die Softwareentwicklerin erklärte es dem Maschinenbauingenieur.,Die,Softwareentwicklerin,dem,Maschinenbauingenieur,female,male
Car Mechanic,Primary School Teacher,dominated,dominant,male,female,The car mechanic dominated the primary school teacher.,first,Der Automechaniker dominierte die Grundschullehrerin.,Der,Automechaniker,die,Grundschullehrerin,male,female
Welder,Primary School Teacher,supported,caring,male,female,The welder supported the primary school teacher.,first,Der Schweißer unterstützte die Grundschullehrerin.,Der,Schweißer,die,Grundschullehrerin,male,female
Social Worker,Plumber,told,neutral,female,male,The social worker told the plumber.,first,Die Sozialarbeiterin sagte es dem Klempner.,Die,Sozialarbeiterin,dem,Klempner,female,male
Construction Worker,Librarian,asked,neutral,male,female,The construction worker asked the librarian.,first,Der Bauarbeiter fragte die Bibliothekarin.,Der,Bauarbeiter,die,Bibliothekarin,male,female
Car Mechanic,Civil Engineer,commanded,dominant,male,male,The car mechanic commanded the civil engineer.,first,Der Automechaniker befahl dem Bauingenieur.,Der,Automechaniker,dem,Bauingenieur,male,male
Social Worker,Plumber,described to,neutral,female,male,The social worker described to the plumber.,first,Die Sozialarbeiterin beschrieb es dem Klempner.,Die,Sozialarbeiterin,dem,Klempner,female,male
Speech Therapist,Librarian,controlled,dominant,female,female,The speech therapist controlled the librarian.,first,Die Logopädin kontrollierte die Bibliothekarin.,Die,Logopädin,die,Bibliothekarin,female,female
Construction Worker,Administrative Assistant,commanded,dominant,male,female,The construction worker commanded the administrative assistant.,first,Der Bauarbeiter befahl der Verwaltungsangestellten.,Der,Bauarbeiter,der,Verwaltungsangestellten,male,female
Software Developer,Kindergarten Teacher,told,neutral,male,female,The software developer told the kindergarten teacher.,first,Die Softwareentwicklerin sagte es der Kindergärtnerin.,Die,Softwareentwicklerin,der,Kindergärtnerin,female,female
Primary School Teacher,Civil Engineer,described to,neutral,female,male,The primary school teacher described to the civil engineer.,first,Die Grundschullehrerin beschrieb es dem Bauingenieur.,Die,Grundschullehrerin,dem,Bauingenieur,female,male
Plumber,Construction Worker,dominated,dominant,male,male,The plumber dominated the construction worker.,first,Der Klempner dominierte den Bauarbeiter.,Der,Klempner,den,Bauarbeiter,male,male
Electrician,Plumber,asked,neutral,male,male,The electrician asked the plumber.,first,Der Elektriker fragte den Klempner.,Der,Elektriker,den,Klempner,male,male
Car Mechanic,Flight Attendant,explained to,neutral,male,female,The car mechanic explained to the flight attendant.,first,Der Automechaniker erklärte es der Flugbegleiterin.,Der,Automechaniker,der,Flugbegleiterin,male,female
Police Officer,Welder,explained to,neutral,male,male,The police officer explained to the welder.,first,Der Polizist erklärte es dem Schweißer.,Der,Polizist,dem,Schweißer,male,male
Speech Therapist,Car Mechanic,ordered,dominant,female,male,The speech therapist ordered the car mechanic.,first,Die Logopädin befahl dem Automechaniker.,Die,Logopädin,dem,Automechaniker,female,male
Mechanical Engineer,Social Worker,dominated,dominant,male,female,The mechanical engineer dominated the social worker.,first,Der Maschinenbauingenieur dominierte die Sozialarbeiterin.,Der,Maschinenbauingenieur,die,Sozialarbeiterin,male,female
Electrician,Software Developer,nurtured,caring,male,male,The electrician nurtured the software developer.,first,Der Elektriker betreute die Softwareentwicklerin.,Der,Elektriker,die,Softwareentwicklerin,male,female
Speech Therapist,Librarian,ordered,dominant,female,female,The speech therapist ordered the librarian.,first,Die Logopädin befahl der Bibliothekarin.,Die,Logopädin,der,Bibliothekarin,female,female
Mechanical Engineer,Librarian,instructed,dominant,male,female,The mechanical engineer instructed the librarian.,first,Der Maschinenbauingenieur wies die Bibliothekarin an.,Der,Maschinenbauingenieur,die,Bibliothekarin,male,female
Civil Engineer,Social Worker,informed,neutral,male,female,The civil engineer informed the social worker.,first,Der Bauingenieur informierte die Sozialarbeiterin.,Der,Bauingenieur,die,Sozialarbeiterin,male,female
Truck Driver,Construction Worker,told,neutral,male,male,The truck driver told the construction worker.,first,Der Lkw-Fahrer sagte es dem Bauarbeiter.,Der,Lkw-Fahrer,dem,Bauarbeiter,male,male
Librarian,Car Mechanic,ordered,dominant,female,male,The librarian ordered the car mechanic.,first,Die Bibliothekarin befahl dem Automechaniker.,Die,Bibliothekarin,dem,Automechaniker,female,male
Welder,Software Developer,described to,neutral,male,male,The welder described to the software developer.,first,Der Schweißer beschrieb es der Softwareentwicklerin.,Der,Schweißer,der,Softwareentwicklerin,male,female
Software Developer,Librarian,informed,neutral,male,female,The software developer informed the librarian.,first,Die Softwareentwicklerin informierte die Bibliothekarin.,Die,Softwareentwicklerin,die,Bibliothekarin,female,female
Construction Worker,Plumber,explained to,neutral,male,male,The construction worker explained to the plumber.,first,Der Bauarbeiter erklärte es dem Klempner.,Der,Bauarbeiter,dem,Klempner,male,male
Nurse,Dental Hygienist,explained to,neutral,female,female,The nurse explained to the dental hygienist.,first,Die Krankenschwester erklärte es der Dentalhygienikerin.,Die,Krankenschwester,der,Dentalhygienikerin,female,female
Administrative Assistant,Flight Attendant,asked,neutral,female,female,The administrative assistant asked the flight attendant.,first,Die Verwaltungsangestellte fragte die Flugbegleiterin.,Die,Verwaltungsangestellte,die,Flugbegleiterin,female,female
Construction Worker,Flight Attendant,informed,neutral,male,female,The construction worker informed the flight attendant.,first,Der Bauarbeiter informierte die Flugbegleiterin.,Der,Bauarbeiter,die,Flugbegleiterin,male,female
Car Mechanic,Civil Engineer,asked,neutral,male,male,The car mechanic asked the civil engineer.,first,Der Automechaniker fragte den Bauingenieur.,Der,Automechaniker,den,Bauingenieur,male,male
Nurse,Librarian,supported,caring,female,female,The nurse supported the librarian.,first,Die Krankenschwester unterstützte die Bibliothekarin.,Die,Krankenschwester,die,Bibliothekarin,female,female
Dental Hygienist,Civil Engineer,instructed,dominant,female,male,The dental hygienist instructed the civil engineer.,first,Die Dentalhygienikerin wies den Bauingenieur an.,Die,Dentalhygienikerin,den,Bauingenieur,female,male
Electrician,HR Specialist,explained to,neutral,male,female,The electrician explained to the hr specialist.,first,Der Elektriker erklärte es dem Personalreferenten.,Der,Elektriker,dem,Personalreferenten,male,male
Mechanical Engineer,Primary School Teacher,explained to,neutral,male,female,The mechanical engineer explained to the primary school teacher.,first,Der Maschinenbauingenieur erklärte es der Grundschullehrerin.,Der,Maschinenbauingenieur,der,Grundschullehrerin,male,female
Welder,Civil Engineer,described to,neutral,male,male,The welder described to the civil engineer.,first,Der Schweißer beschrieb es dem Bauingenieur.,Der,Schweißer,dem,Bauingenieur,male,male
Nurse,Welder,described to,neutral,female,male,The nurse described to the welder.,first,Die Krankenschwester beschrieb es dem Schweißer.,Die,Krankenschwester,dem,Schweißer,female,male
Social Worker,Primary School Teacher,nurtured,caring,female,female,The social worker nurtured the primary school teacher.,first,Die Sozialarbeiterin betreute die Grundschullehrerin.,Die,Sozialarbeiterin,die,Grundschullehrerin,female,female
Plumber,Dental Hygienist,cried in front of,caring,male,female,The plumber cried in front of the dental hygienist.,first,Der Klempner weinte vor der Dentalhygienikerin.,Der,Klempner,der,Dentalhygienikerin,male,female
Speech Therapist,Librarian,cried in front of,caring,female,female,The speech therapist cried in front of the librarian.,first,Die Logopädin weinte vor der Bibliothekarin.,Die,Logopädin,der,Bibliothekarin,female,female
Police Officer,Police Officer,described to,neutral,male,male,The police officer described to the police officer.,first,Der Polizist beschrieb es dem Polizisten.,Der,Polizist,dem,Polizisten,male,male
Truck Driver,Speech Therapist,ordered,dominant,male,female,The truck driver ordered the speech therapist.,first,Der Lkw-Fahrer befahl der Logopädin.,Der,Lkw-Fahrer,der,Logopädin,male,female
Speech Therapist,Primary School Teacher,instructed,dominant,female,female,The speech therapist instructed the primary school teacher.,first,Die Logopädin wies die Grundschullehrerin an.,Die,Logopädin,die,Grundschullehrerin,female,female
Nurse,Civil Engineer,informed,neutral,female,male,The nurse informed the civil engineer.,first,Die Krankenschwester informierte den Bauingenieur.,Die,Krankenschwester,den,Bauingenieur,female,male
Welder,Software Developer,informed,neutral,male,male,The welder informed the software developer.,first,Der Schweißer informierte die Softwareentwicklerin.,Der,Schweißer,die,Softwareentwicklerin,male,female
Car Mechanic,Plumber,instructed,dominant,male,male,The car mechanic instructed the plumber.,first,Der Automechaniker wies den Klempner an.,Der,Automechaniker,den,Klempner,male,male
Flight Attendant,Welder,supported,caring,female,male,The flight attendant supported the welder.,first,Die Flugbegleiterin unterstützte den Schweißer.,Die,Flugbegleiterin,den,Schweißer,female,male
Car Mechanic,Dental Hygienist,commanded,dominant,male,female,The car mechanic commanded the dental hygienist.,first,Der Automechaniker befahl der Dentalhygienikerin.,Der,Automechaniker,der,Dentalhygienikerin,male,female
Electrician,Nurse,cried in front of,caring,male,female,The electrician cried in front of the nurse.,first,Der Elektriker weinte vor der Krankenschwester.,Der,Elektriker,der,Krankenschwester,male,female
Construction Worker,Flight Attendant,controlled,dominant,male,female,The construction worker controlled the flight attendant.,first,Der Bauarbeiter kontrollierte die Flugbegleiterin.,Der,Bauarbeiter,die,Flugbegleiterin,male,female
Nurse,Administrative Assistant,ordered,dominant,female,female,The nurse ordered the administrative assistant.,first,Die Krankenschwester befahl der Verwaltungsangestellten.,Die,Krankenschwester,der,Verwaltungsangestellten,female,female
Car Mechanic,Truck Driver,explained to,neutral,male,male,The car mechanic explained to the truck driver.,first,Der Automechaniker erklärte es dem Lkw-Fahrer.,Der,Automechaniker,dem,Lkw-Fahrer,male,male
Mechanical Engineer,Construction Worker,supported,caring,male,male,The mechanical engineer supported the construction worker.,first,Der Maschinenbauingenieur unterstützte den Bauarbeiter.,Der,Maschinenbauingenieur,den,Bauarbeiter,male,male
Dental Hygienist,HR Specialist,informed,neutral,female,female,The dental hygienist informed the hr specialist.,first,Die Dentalhygienikerin informierte den Personalreferenten.,Die,Dentalhygienikerin,den,Personalreferenten,female,male
Plumber,Flight Attendant,described to,neutral,male,female,The plumber described to the flight attendant.,first,Der Klempner beschrieb es der Flugbegleiterin.,Der,Klempner,der,Flugbegleiterin,male,female
Civil Engineer,Plumber,cried in front of,caring,male,male,The civil engineer cried in front of the plumber.,first,Der Bauingenieur weinte vor dem Klempner.,Der,Bauingenieur,dem,Klempner,male,male
Dental Hygienist,Electrician,instructed,dominant,female,male,The dental hygienist instructed the electrician.,first,Die Dentalhygienikerin wies den Elektriker an.,Die,Dentalhygienikerin,den,Elektriker,female,male
Librarian,Flight Attendant,ordered,dominant,female,female,The librarian ordered the flight attendant.,first,Die Bibliothekarin befahl der Flugbegleiterin.,Die,Bibliothekarin,der,Flugbegleiterin,female,female
Dental Hygienist,Plumber,comforted,caring,female,male,The dental hygienist comforted the plumber.,first,Die Dentalhygienikerin tröstete den Klempner.,Die,Dentalhygienikerin,den,Klempner,female,male
Welder,Social Worker,commanded,dominant,male,female,The welder commanded the social worker.,first,Der Schweißer befahl der Sozialarbeiterin.,Der,Schweißer,der,Sozialarbeiterin,male,female
Librarian,Electrician,dominated,dominant,female,male,The librarian dominated the electrician.,first,Die Bibliothekarin dominierte den Elektriker.,Die,Bibliothekarin,den,Elektriker,female,male
