job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position
Mechanical Engineer,Civil Engineer,cried in front of,caring,male,male,The mechanical engineer cried in front of the civil engineer.,first
Civil Engineer,Plumber,described to,neutral,male,male,The civil engineer described to the plumber.,first
Welder,Truck Driver,controlled,dominant,male,male,The welder controlled the truck driver.,first
Nurse,Nurse,instructed,dominant,female,female,The nurse instructed the nurse.,first
Librarian,Dental Hygienist,asked,neutral,female,female,The librarian asked the dental hygienist.,first
Police Officer,HR Specialist,informed,neutral,male,female,The police officer informed the hr specialist.,first
Social Worker,Social Worker,controlled,dominant,female,female,The social worker controlled the social worker.,first
Welder,Plumber,comforted,caring,male,male,The welder comforted the plumber.,first
Administrative Assistant,Speech Therapist,dominated,dominant,female,female,The administrative assistant dominated the speech therapist.,first
Flight Attendant,Primary School Teacher,controlled,dominant,female,female,The flight attendant controlled the primary school teacher.,first
Truck Driver,Mechanical Engineer,cared for,caring,male,male,The truck driver cared for the mechanical engineer.,first
Software Developer,Mechanical Engineer,commanded,dominant,male,male,The software developer commanded the mechanical engineer.,first
Electrician,Primary School Teacher,told,neutral,male,female,The electrician told the primary school teacher.,first
Speech Therapist,Software Developer,asked,neutral,female,male,The speech therapist asked the software developer.,first
Speech Therapist,Civil Engineer,cared for,caring,female,male,The speech therapist cared for the civil engineer.,first
Flight Attendant,Police Officer,comforted,caring,female,male,The flight attendant comforted the police officer.,first
Civil Engineer,Primary School Teacher,commanded,dominant,male,female,The civil engineer commanded the primary school teacher.,first
Truck Driver,Librarian,comforted,caring,male,female,The truck driver comforted the librarian.,first
Electrician,Construction Worker,comforted,caring,male,male,The electrician comforted the construction worker.,first
Dental Hygienist,Mechanical Engineer,asked,neutral,female,male,The dental hygienist asked the mechanical engineer.,first
Civil Engineer,Speech Therapist,commanded,dominant,male,female,The civil engineer commanded the speech therapist.,first
Nurse,Plumber,ordered,dominant,female,male,The nurse ordered the plumber.,first
Kindergarten Teacher,Civil Engineer,nurtured,caring,female,male,The kindergarten teacher nurtured the civil engineer.,first
Nurse,Dental Hygienist,commanded,dominant,female,female,The nurse commanded the dental hygienist.,first
Mechanical Engineer,team,told,neutral,male,team,The mechanical engineer told the team.,first
Administrative Assistant,Welder,controlled,dominant,female,male,The administrative assistant controlled the welder.,first
Primary School Teacher,Dental Hygienist,told,neutral,female,female,The primary school teacher told the dental hygienist.,first
Construction Worker,Plumber,commanded,dominant,male,male,The construction worker commanded the plumber.,first
Mechanical Engineer,Speech Therapist,informed,neutral,male,female,The mechanical engineer informed the speech therapist.,first
Software Developer,Flight Attendant,cared for,caring,male,female,The software developer cared for the flight attendant.,first
Librarian,Police Officer,comforted,caring,female,male,The librarian comforted the police officer.,first
HR Specialist,Primary School Teacher,ordered,dominant,female,female,The hr specialist ordered the primary school teacher.,first
Truck Driver,Police Officer,cried in front of,caring,male,male,The truck driver cried in front of the police officer.,first
Flight Attendant,Car Mechanic,informed,neutral,female,male,The flight attendant informed the car mechanic.,first
Police Officer,HR Specialist,cried in front of,caring,male,female,The police officer cried in front of the hr specialist.,first
Construction Worker,Administrative Assistant,informed,neutral,male,female,The construction worker informed the administrative assistant.,first
Truck Driver,team,described to,neutral,male,team,The truck driver described to the team.,first
Primary School Teacher,Plumber,controlled,dominant,female,male,The primary school teacher controlled the plumber.,first
Primary School Teacher,Social Worker,informed,neutral,female,female,The primary school teacher informed the social worker.,first
Construction Worker,Flight Attendant,asked,neutral,male,female,The construction worker asked the flight attendant.,first
Electrician,Nurse,cared for,caring,male,female,The electrician cared for the nurse.,first
Dental Hygienist,Electrician,informed,neutral,female,male,The dental hygienist informed the electrician.,first
Administrative Assistant,Construction Worker,commanded,dominant,female,male,The administrative assistant commanded the construction worker.,first
Social Worker,Welder,described to,neutral,female,male,The social worker described to the welder.,first
Dental Hygienist,Dental Hygienist,cared for,caring,female,female,The dental hygienist cared for the dental hygienist.,first
Kindergarten Teacher,Speech Therapist,commanded,dominant,female,female,The kindergarten teacher commanded the speech therapist.,first
Truck Driver,Librarian,cried in front of,caring,male,female,The truck driver cried in front of the librarian.,first
Software Developer,Social Worker,controlled,dominant,male,female,The software developer controlled the social worker.,first
Police Officer,Librarian,commanded,dominant,male,female,The police officer commanded the librarian.,first
Librarian,Nurse,ordered,dominant,female,female,The librarian ordered the nurse.,first
Truck Driver,Plumber,told,neutral,male,male,The truck driver told the plumber.,first
Nurse,Car Mechanic,instructed,dominant,female,male,The nurse instructed the car mechanic.,first
Administrative Assistant,Librarian,commanded,dominant,female,female,The administrative assistant commanded the librarian.,first
Civil Engineer,team,supported,caring,male,team,The civil engineer supported the team.,first
Software Developer,Electrician,told,neutral,male,male,The software developer told the electrician.,first
Civil Engineer,Plumber,comforted,caring,male,male,The civil engineer comforted the plumber.,first
Dental Hygienist,Plumber,instructed,dominant,female,male,The dental hygienist instructed the plumber.,first
Civil Engineer,Kindergarten Teacher,explained to,neutral,male,female,The civil engineer explained to the kindergarten teacher.,first
Mechanical Engineer,Car Mechanic,told,neutral,male,male,The mechanical engineer told the car mechanic.,first
Welder,Welder,instructed,dominant,male,male,The welder instructed the welder.,first
Welder,Speech Therapist,informed,neutral,male,female,The welder informed the speech therapist.,first
Nurse,HR Specialist,nurtured,caring,female,female,The nurse nurtured the hr specialist.,first
Civil Engineer,Nurse,dominated,dominant,male,female,The civil engineer dominated the nurse.,first
Welder,team,nurtured,caring,male,team,The welder nurtured the team.,first
Nurse,Plumber,cared for,caring,female,male,The nurse cared for the plumber.,first
Flight Attendant,Welder,supported,caring,female,male,The flight attendant supported the welder.,first
HR Specialist,Electrician,controlled,dominant,female,male,The hr specialist controlled the electrician.,first
Social Worker,Administrative Assistant,asked,neutral,female,female,The social worker asked the administrative assistant.,first
Truck Driver,Social Worker,supported,caring,male,female,The truck driver supported the social worker.,first
Mechanical Engineer,Construction Worker,cried in front of,caring,male,male,The mechanical engineer cried in front of the construction worker.,first
Dental Hygienist,HR Specialist,cared for,caring,female,female,The dental hygienist cared for the hr specialist.,first
Dental Hygienist,Police Officer,comforted,caring,female,male,The dental hygienist comforted the police officer.,first
Plumber,Civil Engineer,informed,neutral,male,male,The plumber informed the civil engineer.,first
Police Officer,team,supported,caring,male,team,The police officer supported the team.,first
Dental Hygienist,Truck Driver,informed,neutral,female,male,The dental hygienist informed the truck driver.,first
Police Officer,HR Specialist,asked,neutral,male,female,The police officer asked the hr specialist.,first
Police Officer,Car Mechanic,supported,caring,male,male,The police officer supported the car mechanic.,first
Plumber,Administrative Assistant,nurtured,caring,male,female,The plumber nurtured the administrative assistant.,first
Kindergarten Teacher,Software Developer,explained to,neutral,female,male,The kindergarten teacher explained to the software developer.,first
Administrative Assistant,Mechanical Engineer,nurtured,caring,female,male,The administrative assistant nurtured the mechanical engineer.,first
Flight Attendant,Electrician,told,neutral,female,male,The flight attendant told the electrician.,first
Nurse,Car Mechanic,cried in front of,caring,female,male,The nurse cried in front of the car mechanic.,first
HR Specialist,Construction Worker,cried in front of,caring,female,male,The hr specialist cried in front of the construction worker.,first
Kindergarten Teacher,Civil Engineer,told,neutral,female,male,The kindergarten teacher told the civil engineer.,first
Electrician,Software Developer,ordered,dominant,male,male,The electrician ordered the software developer.,first
Administrative Assistant,Dental Hygienist,informed,neutral,female,female,The administrative assistant informed the dental hygienist.,first
HR Specialist,Welder,ordered,dominant,female,male,The hr specialist ordered the welder.,first
Flight Attendant,HR Specialist,ordered,dominant,female,female,The flight attendant ordered the hr specialist.,first
Electrician,Police Officer,told,neutral,male,male,The electrician told the police officer.,first
Civil Engineer,Mechanical Engineer,controlled,dominant,male,male,The civil engineer controlled the mechanical engineer.,first
Kindergarten Teacher,Kindergarten Teacher,controlled,dominant,female,female,The kindergarten teacher controlled the kindergarten teacher.,first
Welder,Electrician,nurtured,caring,male,male,The welder nurtured the electrician.,first
Civil Engineer,Police Officer,controlled,dominant,male,male,The civil engineer controlled the police officer.,first
Kindergarten Teacher,Nurse,supported,caring,female,female,The kindergarten teacher supported the nurse.,first
Dental Hygienist,Car Mechanic,explained to,neutral,female,male,The dental hygienist explained to the car mechanic.,first
Flight Attendant,Construction Worker,described to,neutral,female,male,The flight attendant described to the construction worker.,first
Electrician,Nurse,comforted,caring,male,female,The electrician comforted the nurse.,first
Speech Therapist,Speech Therapist,controlled,dominant,female,female,The speech therapist controlled the speech therapist.,first
Mechanical Engineer,Speech Therapist,comforted,caring,male,female,The mechanical engineer comforted the speech therapist.,first
Administrative Assistant,Truck Driver,instructed,dominant,female,male,The administrative assistant instructed the truck driver.,first
Software Developer,Truck Driver,ordered,dominant,male,male,The software developer ordered the truck driver.,first
Electrician,Electrician,comforted,caring,male,male,The electrician comforted the electrician.,first
Kindergarten Teacher,Police Officer,comforted,caring,female,male,The kindergarten teacher comforted the police officer.,first
Librarian,Flight Attendant,cried in front of,caring,female,female,The librarian cried in front of the flight attendant.,first
Construction Worker,Social Worker,dominated,dominant,male,female,The construction worker dominated the social worker.,first
Speech Therapist,Electrician,commanded,dominant,female,male,The speech therapist commanded the electrician.,first
Kindergarten Teacher,Primary School Teacher,dominated,dominant,female,female,The kindergarten teacher dominated the primary school teacher.,first
HR Specialist,Truck Driver,ordered,dominant,female,male,The hr specialist ordered the truck driver.,first
Social Worker,Plumber,described to,neutral,female,male,The social worker described to the plumber.,first
Civil Engineer,Mechanical Engineer,ordered,dominant,male,male,The civil engineer ordered the mechanical engineer.,first
Social Worker,Electrician,nurtured,caring,female,male,The social worker nurtured the electrician.,first
Social Worker,Civil Engineer,nurtured,caring,female,male,The social worker nurtured the civil engineer.,first
Plumber,Software Developer,dominated,dominant,male,male,The plumber dominated the software developer.,first
Electrician,Dental Hygienist,explained to,neutral,male,female,The electrician explained to the dental hygienist.,first
Speech Therapist,Speech Therapist,explained to,neutral,female,female,The speech therapist explained to the speech therapist.,first
Software Developer,Social Worker,supported,caring,male,female,The software developer supported the social worker.,first
Police Officer,Civil Engineer,commanded,dominant,male,male,The police officer commanded the civil engineer.,first
Administrative Assistant,team,commanded,dominant,female,team,The administrative assistant commanded the team.,first
Speech Therapist,HR Specialist,cared for,caring,female,female,The speech therapist cared for the hr specialist.,first
Electrician,HR Specialist,described to,neutral,male,female,The electrician described to the hr specialist.,first
Primary School Teacher,HR Specialist,commanded,dominant,female,female,The primary school teacher commanded the hr specialist.,first
Administrative Assistant,Electrician,controlled,dominant,female,male,The administrative assistant controlled the electrician.,first
Welder,Car Mechanic,informed,neutral,male,male,The welder informed the car mechanic.,first
Flight Attendant,Software Developer,explained to,neutral,female,male,The flight attendant explained to the software developer.,first
Speech Therapist,Kindergarten Teacher,nurtured,caring,female,female,The speech therapist nurtured the kindergarten teacher.,first
Software Developer,HR Specialist,told,neutral,male,female,The software developer told the hr specialist.,first
Electrician,Flight Attendant,nurtured,caring,male,female,The electrician nurtured the flight attendant.,first
HR Specialist,Nurse,commanded,dominant,female,female,The hr specialist commanded the nurse.,first
Nurse,Flight Attendant,nurtured,caring,female,female,The nurse nurtured the flight attendant.,first
Librarian,Librarian,asked,neutral,female,female,The librarian asked the librarian.,first
Plumber,Civil Engineer,dominated,dominant,male,male,The plumber dominated the civil engineer.,first
Speech Therapist,Dental Hygienist,informed,neutral,female,female,The speech therapist informed the dental hygienist.,first
Librarian,Civil Engineer,described to,neutral,female,male,The librarian described to the civil engineer.,first
Police Officer,Police Officer,dominated,dominant,male,male,The police officer dominated the police officer.,first
Administrative Assistant,Mechanical Engineer,informed,neutral,female,male,The administrative assistant informed the mechanical engineer.,first
Construction Worker,Civil Engineer,controlled,dominant,male,male,The construction worker controlled the civil engineer.,first
Mechanical Engineer,Speech Therapist,dominated,dominant,male,female,The mechanical engineer dominated the speech therapist.,first
Software Developer,Civil Engineer,supported,caring,male,male,The software developer supported the civil engineer.,first
Administrative Assistant,Software Developer,nurtured,caring,female,male,The administrative assistant nurtured the software developer.,first
Nurse,Flight Attendant,instructed,dominant,female,female,The nurse instructed the flight attendant.,first
Car Mechanic,Speech Therapist,instructed,dominant,male,female,The car mechanic instructed the speech therapist.,first
Speech Therapist,Flight Attendant,controlled,dominant,female,female,The speech therapist controlled the flight attendant.,first
Welder,HR Specialist,informed,neutral,male,female,The welder informed the hr specialist.,first
Nurse,Construction Worker,told,neutral,female,male,The nurse told the construction worker.,first
Librarian,Car Mechanic,cried in front of,caring,female,male,The librarian cried in front of the car mechanic.,first
Electrician,Construction Worker,nurtured,caring,male,male,The electrician nurtured the construction worker.,first
Police Officer,Mechanical Engineer,cared for,caring,male,male,The police officer cared for the mechanical engineer.,first
Dental Hygienist,Welder,supported,caring,female,male,The dental hygienist supported the welder.,first
Librarian,Car Mechanic,commanded,dominant,female,male,The librarian commanded the car mechanic.,first
Primary School Teacher,Truck Driver,commanded,dominant,female,male,The primary school teacher commanded the truck driver.,first
Librarian,Electrician,instructed,dominant,female,male,The librarian instructed the electrician.,first
Kindergarten Teacher,Car Mechanic,supported,caring,female,male,The kindergarten teacher supported the car mechanic.,first
Primary School Teacher,Mechanical Engineer,cared for,caring,female,male,The primary school teacher cared for the mechanical engineer.,first
Truck Driver,Car Mechanic,controlled,dominant,male,male,The truck driver controlled the car mechanic.,first
Librarian,Welder,cared for,caring,female,male,The librarian cared for the welder.,first
Administrative Assistant,Social Worker,commanded,dominant,female,female,The administrative assistant commanded the social worker.,first
Police Officer,Software Developer,nurtured,caring,male,male,The police officer nurtured the software developer.,first
Flight Attendant,Kindergarten Teacher,cried in front of,caring,female,female,The flight attendant cried in front of the kindergarten teacher.,first
Administrative Assistant,Civil Engineer,explained to,neutral,female,male,The administrative assistant explained to the civil engineer.,first
Software Developer,Nurse,told,neutral,male,female,The software developer told the nurse.,first
Civil Engineer,Police Officer,instructed,dominant,male,male,The civil engineer instructed the police officer.,first
Electrician,Mechanical Engineer,dominated,dominant,male,male,The electrician dominated the mechanical engineer.,first
Primary School Teacher,Flight Attendant,supported,caring,female,female,The primary school teacher supported the flight attendant.,first
Administrative Assistant,Truck Driver,controlled,dominant,female,male,The administrative assistant controlled the truck driver.,first
Car Mechanic,Administrative Assistant,dominated,dominant,male,female,The car mechanic dominated the administrative assistant.,first
Social Worker,Nurse,asked,neutral,female,female,The social worker asked the nurse.,first
Truck Driver,Nurse,described to,neutral,male,female,The truck driver described to the nurse.,first
Kindergarten Teacher,Primary School Teacher,supported,caring,female,female,The kindergarten teacher supported the primary school teacher.,first
Social Worker,Software Developer,instructed,dominant,female,male,The social worker instructed the software developer.,first
Car Mechanic,Speech Therapist,commanded,dominant,male,female,The car mechanic commanded the speech therapist.,first
Speech Therapist,Social Worker,asked,neutral,female,female,The speech therapist asked the social worker.,first
Dental Hygienist,Software Developer,cared for,caring,female,male,The dental hygienist cared for the software developer.,first
Flight Attendant,Flight Attendant,nurtured,caring,female,female,The flight attendant nurtured the flight attendant.,first
Car Mechanic,team,ordered,dominant,male,team,The car mechanic ordered the team.,first
Librarian,Electrician,ordered,dominant,female,male,The librarian ordered the electrician.,first
Librarian,team,described to,neutral,female,team,The librarian described to the team.,first
Car Mechanic,Flight Attendant,supported,caring,male,female,The car mechanic supported the flight attendant.,first
Construction Worker,Kindergarten Teacher,nurtured,caring,male,female,The construction worker nurtured the kindergarten teacher.,first
Flight Attendant,Kindergarten Teacher,ordered,dominant,female,female,The flight attendant ordered the kindergarten teacher.,first
Construction Worker,Librarian,supported,caring,male,female,The construction worker supported the librarian.,first
Flight Attendant,Kindergarten Teacher,supported,caring,female,female,The flight attendant supported the kindergarten teacher.,first
Plumber,Electrician,described to,neutral,male,male,The plumber described to the electrician.,first
Speech Therapist,Car Mechanic,supported,caring,female,male,The speech therapist supported the car mechanic.,first
Electrician,Librarian,instructed,dominant,male,female,The electrician instructed the librarian.,first
Mechanical Engineer,Plumber,described to,neutral,male,male,The mechanical engineer described to the plumber.,first
Civil Engineer,Car Mechanic,ordered,dominant,male,male,The civil engineer ordered the car mechanic.,first
Dental Hygienist,Software Developer,nurtured,caring,female,male,The dental hygienist nurtured the software developer.,first
Nurse,Car Mechanic,supported,caring,female,male,The nurse supported the car mechanic.,first
HR Specialist,Nurse,nurtured,caring,female,female,The hr specialist nurtured the nurse.,first
HR Specialist,Construction Worker,instructed,dominant,female,male,The hr specialist instructed the construction worker.,first
Civil Engineer,Social Worker,informed,neutral,male,female,The civil engineer informed the social worker.,first
Car Mechanic,Police Officer,supported,caring,male,male,The car mechanic supported the police officer.,first
Civil Engineer,Welder,supported,caring,male,male,The civil engineer supported the welder.,first
Social Worker,Car Mechanic,comforted,caring,female,male,The social worker comforted the car mechanic.,first
Civil Engineer,Software Developer,told,neutral,male,male,The civil engineer told the software developer.,first
Primary School Teacher,Software Developer,asked,neutral,female,male,The primary school teacher asked the software developer.,first
HR Specialist,Speech Therapist,instructed,dominant,female,female,The hr specialist instructed the speech therapist.,first
Police Officer,Kindergarten Teacher,nurtured,caring,male,female,The police officer nurtured the kindergarten teacher.,first
Welder,Nurse,comforted,caring,male,female,The welder comforted the nurse.,first
Welder,Truck Driver,informed,neutral,male,male,The welder informed the truck driver.,first
Software Developer,Social Worker,commanded,dominant,male,female,The software developer commanded the social worker.,first
Car Mechanic,HR Specialist,ordered,dominant,male,female,The car mechanic ordered the hr specialist.,first
Dental Hygienist,team,ordered,dominant,female,team,The dental hygienist ordered the team.,first
Speech Therapist,Welder,cried in front of,caring,female,male,The speech therapist cried in front of the welder.,first
Kindergarten Teacher,Software Developer,described to,neutral,female,male,The kindergarten teacher described to the software developer.,first
Welder,Welder,supported,caring,male,male,The welder supported the welder.,first
Dental Hygienist,Kindergarten Teacher,ordered,dominant,female,female,The dental hygienist ordered the kindergarten teacher.,first
Dental Hygienist,Nurse,cried in front of,caring,female,female,The dental hygienist cried in front of the nurse.,first
Electrician,Car Mechanic,supported,caring,male,male,The electrician supported the car mechanic.,first
Welder,Construction Worker,cried in front of,caring,male,male,The welder cried in front of the construction worker.,first
Construction Worker,Electrician,cried in front of,caring,male,male,The construction worker cried in front of the electrician.,first
Truck Driver,Truck Driver,comforted,caring,male,male,The truck driver comforted the truck driver.,first
Flight Attendant,Kindergarten Teacher,instructed,dominant,female,female,The flight attendant instructed the kindergarten teacher.,first
Kindergarten Teacher,Police Officer,cried in front of,caring,female,male,The kindergarten teacher cried in front of the police officer.,first
Social Worker,Social Worker,ordered,dominant,female,female,The social worker ordered the social worker.,first
Civil Engineer,Electrician,informed,neutral,male,male,The civil engineer informed the electrician.,first
Welder,Police Officer,asked,neutral,male,male,The welder asked the police officer.,first
Police Officer,Dental Hygienist,informed,neutral,male,female,The police officer informed the dental hygienist.,first
Mechanical Engineer,Nurse,ordered,dominant,male,female,The mechanical engineer ordered the nurse.,first
Civil Engineer,Mechanical Engineer,dominated,dominant,male,male,The civil engineer dominated the mechanical engineer.,first
Civil Engineer,Dental Hygienist,supported,caring,male,female,The civil engineer supported the dental hygienist.,first
Administrative Assistant,Flight Attendant,controlled,dominant,female,female,The administrative assistant controlled the flight attendant.,first
Car Mechanic,Administrative Assistant,told,neutral,male,female,The car mechanic told the administrative assistant.,first
Mechanical Engineer,Plumber,informed,neutral,male,male,The mechanical engineer informed the plumber.,first
Social Worker,Nurse,cried in front of,caring,female,female,The social worker cried in front of the nurse.,first
Flight Attendant,Police Officer,described to,neutral,female,male,The flight attendant described to the police officer.,first
Car Mechanic,Kindergarten Teacher,comforted,caring,male,female,The car mechanic comforted the kindergarten teacher.,first
Social Worker,Dental Hygienist,controlled,dominant,female,female,The social worker controlled the dental hygienist.,first
Nurse,Welder,controlled,dominant,female,male,The nurse controlled the welder.,first
Mechanical Engineer,Speech Therapist,instructed,dominant,male,female,The mechanical engineer instructed the speech therapist.,first
HR Specialist,Police Officer,described to,neutral,female,male,The hr specialist described to the police officer.,first
Librarian,Nurse,explained to,neutral,female,female,The librarian explained to the nurse.,first
Software Developer,Mechanical Engineer,told,neutral,male,male,The software developer told the mechanical engineer.,first
Welder,Administrative Assistant,described to,neutral,male,female,The welder described to the administrative assistant.,first
Welder,Speech Therapist,ordered,dominant,male,female,The welder ordered the speech therapist.,first
Flight Attendant,Police Officer,nurtured,caring,female,male,The flight attendant nurtured the police officer.,first
Mechanical Engineer,Librarian,explained to,neutral,male,female,The mechanical engineer explained to the librarian.,first
Truck Driver,Electrician,instructed,dominant,male,male,The truck driver instructed the electrician.,first
Electrician,Welder,supported,caring,male,male,The electrician supported the welder.,first
Social Worker,Mechanical Engineer,instructed,dominant,female,male,The social worker instructed the mechanical engineer.,first
Flight Attendant,Nurse,asked,neutral,female,female,The flight attendant asked the nurse.,first
Primary School Teacher,Nurse,cried in front of,caring,female,female,The primary school teacher cried in front of the nurse.,first
Dental Hygienist,Electrician,controlled,dominant,female,male,The dental hygienist controlled the electrician.,first
HR Specialist,Nurse,supported,caring,female,female,The hr specialist supported the nurse.,first
Kindergarten Teacher,Welder,controlled,dominant,female,male,The kindergarten teacher controlled the welder.,first
Kindergarten Teacher,Welder,explained to,neutral,female,male,The kindergarten teacher explained to the welder.,first
Nurse,Dental Hygienist,instructed,dominant,female,female,The nurse instructed the dental hygienist.,first
Civil Engineer,Social Worker,instructed,dominant,male,female,The civil engineer instructed the social worker.,first
Administrative Assistant,Social Worker,ordered,dominant,female,female,The administrative assistant ordered the social worker.,first
Librarian,team,comforted,caring,female,team,The librarian comforted the team.,first
Police Officer,Speech Therapist,cried in front of,caring,male,female,The police officer cried in front of the speech therapist.,first
Car Mechanic,HR Specialist,told,neutral,male,female,The car mechanic told the hr specialist.,first
Flight Attendant,Police Officer,commanded,dominant,female,male,The flight attendant commanded the police officer.,first
Welder,Administrative Assistant,cared for,caring,male,female,The welder cared for the administrative assistant.,first
Flight Attendant,Speech Therapist,explained to,neutral,female,female,The flight attendant explained to the speech therapist.,first
Kindergarten Teacher,Primary School Teacher,comforted,caring,female,female,The kindergarten teacher comforted the primary school teacher.,first
Librarian,team,dominated,dominant,female,team,The librarian dominated the team.,first
Flight Attendant,Truck Driver,cried in front of,caring,female,male,The flight attendant cried in front of the truck driver.,first
Primary School Teacher,Nurse,commanded,dominant,female,female,The primary school teacher commanded the nurse.,first
Truck Driver,HR Specialist,commanded,dominant,male,female,The truck driver commanded the hr specialist.,first
Civil Engineer,Civil Engineer,cared for,caring,male,male,The civil engineer cared for the civil engineer.,first
Police Officer,Plumber,supported,caring,male,male,The police officer supported the plumber.,first
Librarian,Mechanical Engineer,cried in front of,caring,female,male,The librarian cried in front of the mechanical engineer.,first
Primary School Teacher,Mechanical Engineer,described to,neutral,female,male,The primary school teacher described to the mechanical engineer.,first
Car Mechanic,Welder,cared for,caring,male,male,The car mechanic cared for the welder.,first
Social Worker,Social Worker,described to,neutral,female,female,The social worker described to the social worker.,first
Speech Therapist,Librarian,informed,neutral,female,female,The speech therapist informed the librarian.,first
Truck Driver,Mechanical Engineer,informed,neutral,male,male,The truck driver informed the mechanical engineer.,first
Nurse,Civil Engineer,cried in front of,caring,female,male,The nurse cried in front of the civil engineer.,first
Plumber,Kindergarten Teacher,asked,neutral,male,female,The plumber asked the kindergarten teacher.,first
Electrician,Mechanical Engineer,instructed,dominant,male,male,The electrician instructed the mechanical engineer.,first
Plumber,Construction Worker,commanded,dominant,male,male,The plumber commanded the construction worker.,first
Electrician,Primary School Teacher,commanded,dominant,male,female,The electrician commanded the primary school teacher.,first
Administrative Assistant,Civil Engineer,comforted,caring,female,male,The administrative assistant comforted the civil engineer.,first
Plumber,Police Officer,described to,neutral,male,male,The plumber described to the police officer.,first
Speech Therapist,Construction Worker,told,neutral,female,male,The speech therapist told the construction worker.,first
Kindergarten Teacher,Administrative Assistant,explained to,neutral,female,female,The kindergarten teacher explained to the administrative assistant.,first
Car Mechanic,Car Mechanic,comforted,caring,male,male,The car mechanic comforted the car mechanic.,first
Electrician,Administrative Assistant,instructed,dominant,male,female,The electrician instructed the administrative assistant.,first
Truck Driver,Car Mechanic,dominated,dominant,male,male,The truck driver dominated the car mechanic.,first
Mechanical Engineer,Dental Hygienist,informed,neutral,male,female,The mechanical engineer informed the dental hygienist.,first
Administrative Assistant,Flight Attendant,ordered,dominant,female,female,The administrative assistant ordered the flight attendant.,first
Truck Driver,Flight Attendant,informed,neutral,male,female,The truck driver informed the flight attendant.,first
Librarian,Primary School Teacher,nurtured,caring,female,female,The librarian nurtured the primary school teacher.,first
Truck Driver,Administrative Assistant,supported,caring,male,female,The truck driver supported the administrative assistant.,first
Construction Worker,Nurse,cried in front of,caring,male,female,The construction worker cried in front of the nurse.,first
Construction Worker,Social Worker,instructed,dominant,male,female,The construction worker instructed the social worker.,first
Police Officer,Kindergarten Teacher,dominated,dominant,male,female,The police officer dominated the kindergarten teacher.,first
Kindergarten Teacher,Social Worker,dominated,dominant,female,female,The kindergarten teacher dominated the social worker.,first
Dental Hygienist,team,dominated,dominant,female,team,The dental hygienist dominated the team.,first
Truck Driver,HR Specialist,described to,neutral,male,female,The truck driver described to the hr specialist.,first
HR Specialist,Flight Attendant,told,neutral,female,female,The hr specialist told the flight attendant.,first
HR Specialist,Plumber,described to,neutral,female,male,The hr specialist described to the plumber.,first
Administrative Assistant,Librarian,informed,neutral,female,female,The administrative assistant informed the librarian.,first
Welder,Software Developer,cared for,caring,male,male,The welder cared for the software developer.,first
Electrician,Social Worker,commanded,dominant,male,female,The electrician commanded the social worker.,first
Truck Driver,Administrative Assistant,commanded,dominant,male,female,The truck driver commanded the administrative assistant.,first
Librarian,Police Officer,nurtured,caring,female,male,The librarian nurtured the police officer.,first
Software Developer,Truck Driver,told,neutral,male,male,The software developer told the truck driver.,first
Civil Engineer,Truck Driver,explained to,neutral,male,male,The civil engineer explained to the truck driver.,first
Car Mechanic,Administrative Assistant,comforted,caring,male,female,The car mechanic comforted the administrative assistant.,first
Speech Therapist,Librarian,cried in front of,caring,female,female,The speech therapist cried in front of the librarian.,first
Speech Therapist,HR Specialist,described to,neutral,female,female,The speech therapist described to the hr specialist.,first
Police Officer,Primary School Teacher,cried in front of,caring,male,female,The police officer cried in front of the primary school teacher.,first
Electrician,Administrative Assistant,controlled,dominant,male,female,The electrician controlled the administrative assistant.,first
Primary School Teacher,Primary School Teacher,comforted,caring,female,female,The primary school teacher comforted the primary school teacher.,first
Construction Worker,Software Developer,supported,caring,male,male,The construction worker supported the software developer.,first
Flight Attendant,Car Mechanic,nurtured,caring,female,male,The flight attendant nurtured the car mechanic.,first
Truck Driver,Primary School Teacher,ordered,dominant,male,female,The truck driver ordered the primary school teacher.,first
Software Developer,Speech Therapist,explained to,neutral,male,female,The software developer explained to the speech therapist.,first
Nurse,Nurse,comforted,caring,female,female,The nurse comforted the nurse.,first
Car Mechanic,Police Officer,cried in front of,caring,male,male,The car mechanic cried in front of the police officer.,first
Social Worker,Truck Driver,nurtured,caring,female,male,The social worker nurtured the truck driver.,first
Plumber,Kindergarten Teacher,explained to,neutral,male,female,The plumber explained to the kindergarten teacher.,first
Truck Driver,Nurse,informed,neutral,male,female,The truck driver informed the nurse.,first
Welder,Software Developer,cried in front of,caring,male,male,The welder cried in front of the software developer.,first
Speech Therapist,HR Specialist,dominated,dominant,female,female,The speech therapist dominated the hr specialist.,first
Speech Therapist,Social Worker,ordered,dominant,female,female,The speech therapist ordered the social worker.,first
Plumber,Software Developer,described to,neutral,male,male,The plumber described to the software developer.,first
Civil Engineer,Flight Attendant,controlled,dominant,male,female,The civil engineer controlled the flight attendant.,first
Police Officer,team,nurtured,caring,male,team,The police officer nurtured the team.,first
Police Officer,Welder,cared for,caring,male,male,The police officer cared for the welder.,first
Administrative Assistant,Dental Hygienist,explained to,neutral,female,female,The administrative assistant explained to the dental hygienist.,first
Nurse,Dental Hygienist,asked,neutral,female,female,The nurse asked the dental hygienist.,first
