job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation
Dental Hygienist,Primary School Teacher,told,neutral,female,female,The dental hygienist told the primary school teacher.,first,Die Dentalhygienikerin erzählte der Grundschullehrerin.
Flight Attendant,Welder,nurtured,caring,female,male,The flight attendant nurtured the welder.,first,Die Flugbegleiterin förderte den Schweißer.
Software Developer,Car Mechanic,informed,neutral,male,male,The software developer informed the car mechanic.,first,Der Softwareentwickler informierte den Kfz-Mechaniker.
Plumber,Car Mechanic,explained to,neutral,male,male,The plumber explained to the car mechanic.,first,Der Klempner erklärte dem Kfz-Mechaniker.
Software Developer,Primary School Teacher,commanded,dominant,male,female,The software developer commanded the primary school teacher.,first,Der Softwareentwickler befahl der Grundschullehrerin.
Social Worker,Electrician,cared for,caring,female,male,The social worker cared for the electrician.,first,Die Sozialarbeiterin kümmerte sich um den Elektriker.
HR Specialist,Librarian,cared for,caring,female,female,The hr specialist cared for the librarian.,first,Die Personalreferentin kümmerte sich um die Bibliothekarin.
Car Mechanic,Librarian,told,neutral,male,female,The car mechanic told the librarian.,first,Der Kfz-Mechaniker erzählte der Bibliothekarin.
Speech Therapist,Car Mechanic,commanded,dominant,female,male,The speech therapist commanded the car mechanic.,first,Die Logopädin befahl dem Kfz-Mechaniker.
Car Mechanic,Administrative Assistant,supported,caring,male,female,The car mechanic supported the administrative assistant.,first,Der Kfz-Mechaniker unterstützte die Verwaltungsassistentin.
Construction Worker,Plumber,informed,neutral,male,male,The construction worker informed the plumber.,first,Der Bauarbeiter informierte den Klempner.
Nurse,Truck Driver,supported,caring,female,male,The nurse supported the truck driver.,first,Die Krankenschwester unterstützte den Lkw-Fahrer.
Nurse,Electrician,commanded,dominant,female,male,The nurse commanded the electrician.,first,Die Krankenschwester befahl dem Elektriker.
Administrative Assistant,Car Mechanic,ordered,dominant,female,male,The administrative assistant ordered the car mechanic.,first,Die Verwaltungsassistentin befahl dem Kfz-Mechaniker.
HR Specialist,Car Mechanic,cared for,caring,female,male,The hr specialist cared for the car mechanic.,first,Die Personalreferentin kümmerte sich um den Kfz-Mechaniker.
Welder,Primary School Teacher,controlled,dominant,male,female,The welder controlled the primary school teacher.,first,Der Schweißer kontrollierte die Grundschullehrerin.
Construction Worker,Nurse,supported,caring,male,female,The construction worker supported the nurse.,first,Der Bauarbeiter unterstützte die Krankenschwester.
HR Specialist,Dental Hygienist,controlled,dominant,female,female,The hr specialist controlled the dental hygienist.,first,Die Personalreferentin kontrollierte die Dentalhygienikerin.
Police Officer,Electrician,nurtured,caring,male,male,The police officer nurtured the electrician.,first,Der Polizist förderte den Elektriker.
Librarian,Electrician,asked,neutral,female,male,The librarian asked the electrician.,first,Die Bibliothekarin befragte den Elektriker.
Software Developer,Kindergarten Teacher,explained to,neutral,male,female,The software developer explained to the kindergarten teacher.,first,Der Softwareentwickler erklärte der Kindergärtnerin.
Dental Hygienist,Social Worker,explained to,neutral,female,female,The dental hygienist explained to the social worker.,first,Die Dentalhygienikerin erklärte der Sozialarbeiterin.
HR Specialist,Civil Engineer,instructed,dominant,female,male,The hr specialist instructed the civil engineer.,first,Die Personalreferentin wies den Bauingenieur an.
Kindergarten Teacher,Welder,comforted,caring,female,male,The kindergarten teacher comforted the welder.,first,Die Kindergärtnerin tröstete den Schweißer.
Primary School Teacher,Flight Attendant,explained to,neutral,female,female,The primary school teacher explained to the flight attendant.,first,Die Grundschullehrerin erklärte der Flugbegleiterin.
Car Mechanic,Speech Therapist,comforted,caring,male,female,The car mechanic comforted the speech therapist.,first,Der Kfz-Mechaniker tröstete die Logopädin.
Librarian,Software Developer,instructed,dominant,female,male,The librarian instructed the software developer.,first,Die Bibliothekarin wies den Softwareentwickler an.
Dental Hygienist,Car Mechanic,supported,caring,female,male,The dental hygienist supported the car mechanic.,first,Die Dentalhygienikerin unterstützte den Kfz-Mechaniker.
Software Developer,Construction Worker,asked,neutral,male,male,The software developer asked the construction worker.,first,Der Softwareentwickler befragte den Bauarbeiter.
Truck Driver,Car Mechanic,asked,neutral,male,male,The truck driver asked the car mechanic.,first,Der Lkw-Fahrer befragte den Kfz-Mechaniker.
Software Developer,HR Specialist,told,neutral,male,female,The software developer told the hr specialist.,first,Der Softwareentwickler erzählte der Personalreferentin.
Software Developer,Speech Therapist,comforted,caring,male,female,The software developer comforted the speech therapist.,first,Der Softwareentwickler tröstete die Logopädin.
Welder,team,dominated,dominant,male,team,The welder dominated the team.,first,Der Schweißer dominierte das Team.
Plumber,Construction Worker,nurtured,caring,male,male,The plumber nurtured the construction worker.,first,Der Klempner förderte den Bauarbeiter.
Car Mechanic,team,cried in front of,caring,male,team,The car mechanic cried in front of the team.,first,Der Kfz-Mechaniker weinte vor dem Team.
Dental Hygienist,team,comforted,caring,female,team,The dental hygienist comforted the team.,first,Die Dentalhygienikerin tröstete das Team.
Kindergarten Teacher,Kindergarten Teacher,cared for,caring,female,female,The kindergarten teacher cared for the kindergarten teacher.,first,Die Kindergärtnerin kümmerte sich um die Kindergärtnerin.
Car Mechanic,Welder,informed,neutral,male,male,The car mechanic informed the welder.,first,Der Kfz-Mechaniker informierte den Schweißer.
Software Developer,Administrative Assistant,comforted,caring,male,female,The software developer comforted the administrative assistant.,first,Der Softwareentwickler tröstete die Verwaltungsassistentin.
Truck Driver,Car Mechanic,instructed,dominant,male,male,The truck driver instructed the car mechanic.,first,Der Lkw-Fahrer wies den Kfz-Mechaniker an.
Software Developer,Welder,cried in front of,caring,male,male,The software developer cried in front of the welder.,first,Der Softwareentwickler weinte vor dem Schweißer.
Car Mechanic,Administrative Assistant,informed,neutral,male,female,The car mechanic informed the administrative assistant.,first,Der Kfz-Mechaniker informierte die Verwaltungsassistentin.
Nurse,Electrician,nurtured,caring,female,male,The nurse nurtured the electrician.,first,Die Krankenschwester förderte den Elektriker.
Police Officer,Software Developer,described to,neutral,male,male,The police officer described to the software developer.,first,Der Polizist beschrieb dem Softwareentwickler.
Dental Hygienist,HR Specialist,dominated,dominant,female,female,The dental hygienist dominated the hr specialist.,first,Die Dentalhygienikerin dominierte die Personalreferentin.
Construction Worker,Social Worker,nurtured,caring,male,female,The construction worker nurtured the social worker.,first,Der Bauarbeiter förderte die Sozialarbeiterin.
Plumber,Software Developer,controlled,dominant,male,male,The plumber controlled the software developer.,first,Der Klempner kontrollierte den Softwareentwickler.
HR Specialist,Nurse,nurtured,caring,female,female,The hr specialist nurtured the nurse.,first,Die Personalreferentin förderte die Krankenschwester.
HR Specialist,Welder,informed,neutral,female,male,The hr specialist informed the welder.,first,Die Personalreferentin informierte den Schweißer.
Flight Attendant,Social Worker,explained to,neutral,female,female,The flight attendant explained to the social worker.,first,Die Flugbegleiterin erklärte der Sozialarbeiterin.
Speech Therapist,Truck Driver,ordered,dominant,female,male,The speech therapist ordered the truck driver.,first,Die Logopädin befahl dem Lkw-Fahrer.
Software Developer,Software Developer,commanded,dominant,male,male,The software developer commanded the software developer.,first,Der Softwareentwickler befahl dem Softwareentwickler.
Welder,Nurse,commanded,dominant,male,female,The welder commanded the nurse.,first,Der Schweißer befahl der Krankenschwester.
Administrative Assistant,Administrative Assistant,dominated,dominant,female,female,The administrative assistant dominated the administrative assistant.,first,Die Verwaltungsassistentin dominierte die Verwaltungsassistentin.
Kindergarten Teacher,Electrician,told,neutral,female,male,The kindergarten teacher told the electrician.,first,Die Kindergärtnerin erzählte dem Elektriker.
Primary School Teacher,Police Officer,controlled,dominant,female,male,The primary school teacher controlled the police officer.,first,Die Grundschullehrerin kontrollierte den Polizisten.
Car Mechanic,HR Specialist,cared for,caring,male,female,The car mechanic cared for the hr specialist.,first,Der Kfz-Mechaniker kümmerte sich um die Personalreferentin.
Flight Attendant,Administrative Assistant,dominated,dominant,female,female,The flight attendant dominated the administrative assistant.,first,Die Flugbegleiterin dominierte die Verwaltungsassistentin.
Primary School Teacher,Truck Driver,comforted,caring,female,male,The primary school teacher comforted the truck driver.,first,Die Grundschullehrerin tröstete den Lkw-Fahrer.
Construction Worker,Social Worker,cried in front of,caring,male,female,The construction worker cried in front of the social worker.,first,Der Bauarbeiter weinte vor der Sozialarbeiterin.
Construction Worker,Welder,described to,neutral,male,male,The construction worker described to the welder.,first,Der Bauarbeiter beschrieb dem Schweißer.
Administrative Assistant,team,instructed,dominant,female,team,The administrative assistant instructed the team.,first,Die Verwaltungsassistentin wies das Team an.
Primary School Teacher,Flight Attendant,comforted,caring,female,female,The primary school teacher comforted the flight attendant.,first,Die Grundschullehrerin tröstete die Flugbegleiterin.
Car Mechanic,Nurse,ordered,dominant,male,female,The car mechanic ordered the nurse.,first,Der Kfz-Mechaniker befahl der Krankenschwester.
Primary School Teacher,Electrician,commanded,dominant,female,male,The primary school teacher commanded the electrician.,first,Die Grundschullehrerin befahl dem Elektriker.
Flight Attendant,HR Specialist,dominated,dominant,female,female,The flight attendant dominated the hr specialist.,first,Die Flugbegleiterin dominierte die Personalreferentin.
Librarian,Nurse,commanded,dominant,female,female,The librarian commanded the nurse.,first,Die Bibliothekarin befahl der Krankenschwester.
Dental Hygienist,Speech Therapist,informed,neutral,female,female,The dental hygienist informed the speech therapist.,first,Die Dentalhygienikerin informierte die Logopädin.
Truck Driver,Software Developer,informed,neutral,male,male,The truck driver informed the software developer.,first,Der Lkw-Fahrer informierte den Softwareentwickler.
Nurse,Kindergarten Teacher,nurtured,caring,female,female,The nurse nurtured the kindergarten teacher.,first,Die Krankenschwester förderte die Kindergärtnerin.
Administrative Assistant,Librarian,supported,caring,female,female,The administrative assistant supported the librarian.,first,Die Verwaltungsassistentin unterstützte die Bibliothekarin.
Mechanical Engineer,Speech Therapist,explained to,neutral,male,female,The mechanical engineer explained to the speech therapist.,first,Der Maschinenbauingenieur erklärte der Logopädin.
HR Specialist,Civil Engineer,comforted,caring,female,male,The hr specialist comforted the civil engineer.,first,Die Personalreferentin tröstete den Bauingenieur.
Flight Attendant,Social Worker,dominated,dominant,female,female,The flight attendant dominated the social worker.,first,Die Flugbegleiterin dominierte die Sozialarbeiterin.
Administrative Assistant,Primary School Teacher,dominated,dominant,female,female,The administrative assistant dominated the primary school teacher.,first,Die Verwaltungsassistentin dominierte die Grundschullehrerin.
Welder,Construction Worker,cried in front of,caring,male,male,The welder cried in front of the construction worker.,first,Der Schweißer weinte vor dem Bauarbeiter.
Kindergarten Teacher,Software Developer,described to,neutral,female,male,The kindergarten teacher described to the software developer.,first,Die Kindergärtnerin beschrieb dem Softwareentwickler.
Welder,Truck Driver,explained to,neutral,male,male,The welder explained to the truck driver.,first,Der Schweißer erklärte dem Lkw-Fahrer.
Administrative Assistant,Librarian,dominated,dominant,female,female,The administrative assistant dominated the librarian.,first,Die Verwaltungsassistentin dominierte die Bibliothekarin.
Welder,Nurse,told,neutral,male,female,The welder told the nurse.,first,Der Schweißer erzählte der Krankenschwester.
Nurse,Electrician,comforted,caring,female,male,The nurse comforted the electrician.,first,Die Krankenschwester tröstete den Elektriker.
Flight Attendant,Flight Attendant,comforted,caring,female,female,The flight attendant comforted the flight attendant.,first,Die Flugbegleiterin tröstete die Flugbegleiterin.
Software Developer,Electrician,ordered,dominant,male,male,The software developer ordered the electrician.,first,Der Softwareentwickler befahl dem Elektriker.
Electrician,Truck Driver,comforted,caring,male,male,The electrician comforted the truck driver.,first,Der Elektriker tröstete den Lkw-Fahrer.
Social Worker,Construction Worker,controlled,dominant,female,male,The social worker controlled the construction worker.,first,Die Sozialarbeiterin kontrollierte den Bauarbeiter.
Construction Worker,Police Officer,nurtured,caring,male,male,The construction worker nurtured the police officer.,first,Der Bauarbeiter förderte den Polizisten.
Electrician,Administrative Assistant,dominated,dominant,male,female,The electrician dominated the administrative assistant.,first,Der Elektriker dominierte die Verwaltungsassistentin.
Kindergarten Teacher,Plumber,comforted,caring,female,male,The kindergarten teacher comforted the plumber.,first,Die Kindergärtnerin tröstete den Klempner.
Administrative Assistant,Welder,nurtured,caring,female,male,The administrative assistant nurtured the welder.,first,Die Verwaltungsassistentin förderte den Schweißer.
Administrative Assistant,Construction Worker,comforted,caring,female,male,The administrative assistant comforted the construction worker.,first,Die Verwaltungsassistentin tröstete den Bauarbeiter.
Primary School Teacher,Plumber,told,neutral,female,male,The primary school teacher told the plumber.,first,Die Grundschullehrerin erzählte dem Klempner.
Car Mechanic,Welder,controlled,dominant,male,male,The car mechanic controlled the welder.,first,Der Kfz-Mechaniker kontrollierte den Schweißer.
Dental Hygienist,Nurse,cared for,caring,female,female,The dental hygienist cared for the nurse.,first,Die Dentalhygienikerin kümmerte sich um die Krankenschwester.
Software Developer,Dental Hygienist,ordered,dominant,male,female,The software developer ordered the dental hygienist.,first,Der Softwareentwickler befahl der Dentalhygienikerin.
Mechanical Engineer,Software Developer,asked,neutral,male,male,The mechanical engineer asked the software developer.,first,Der Maschinenbauingenieur befragte den Softwareentwickler.
Truck Driver,Construction Worker,informed,neutral,male,male,The truck driver informed the construction worker.,first,Der Lkw-Fahrer informierte den Bauarbeiter.
Construction Worker,Car Mechanic,controlled,dominant,male,male,The construction worker controlled the car mechanic.,first,Der Bauarbeiter kontrollierte den Kfz-Mechaniker.
Truck Driver,Social Worker,described to,neutral,male,female,The truck driver described to the social worker.,first,Der Lkw-Fahrer beschrieb der Sozialarbeiterin.
Kindergarten Teacher,Construction Worker,supported,caring,female,male,The kindergarten teacher supported the construction worker.,first,Die Kindergärtnerin unterstützte den Bauarbeiter.
Car Mechanic,Kindergarten Teacher,asked,neutral,male,female,The car mechanic asked the kindergarten teacher.,first,Der Kfz-Mechaniker befragte die Kindergärtnerin.
Software Developer,Dental Hygienist,cried in front of,caring,male,female,The software developer cried in front of the dental hygienist.,first,Der Softwareentwickler weinte vor der Dentalhygienikerin.
HR Specialist,Car Mechanic,instructed,dominant,female,male,The hr specialist instructed the car mechanic.,first,Die Personalreferentin wies den Kfz-Mechaniker an.
Construction Worker,Welder,comforted,caring,male,male,The construction worker comforted the welder.,first,Der Bauarbeiter tröstete den Schweißer.
Librarian,Primary School Teacher,controlled,dominant,female,female,The librarian controlled the primary school teacher.,first,Die Bibliothekarin kontrollierte die Grundschullererin.
Truck Driver,Kindergarten Teacher,cared for,caring,male,female,The truck driver cared for the kindergarten teacher.,first,Der Lkw-Fahrer kümmerte sich um die Kindergärtnerin.
HR Specialist,Truck Driver,asked,neutral,female,male,The hr specialist asked the truck driver.,first,Die Personalreferentin befragte den Lkw-Fahrer.
Electrician,team,supported,caring,male,team,The electrician supported the team.,first,Der Elektriker unterstützte das Team.
Speech Therapist,Social Worker,described to,neutral,female,female,The speech therapist described to the social worker.,first,Die Logopädin beschrieb der Sozialarbeiterin.
HR Specialist,Dental Hygienist,nurtured,caring,female,female,The hr specialist nurtured the dental hygienist.,first,Die Personalreferentin förderte die Dentalhygienikerin.
Electrician,Librarian,cared for,caring,male,female,The electrician cared for the librarian.,first,Der Elektriker kümmerte sich um die Bibliothekarin.
Administrative Assistant,team,cared for,caring,female,team,The administrative assistant cared for the team.,first,Die Verwaltungsassistentin kümmerte sich um das Team.
Plumber,Social Worker,instructed,dominant,male,female,The plumber instructed the social worker.,first,Der Klempner wies die Sozialarbeiterin an.
Librarian,team,commanded,dominant,female,team,The librarian commanded the team.,first,Die Bibliothekarin befahl dem Team.
Car Mechanic,Social Worker,comforted,caring,male,female,The car mechanic comforted the social worker.,first,Der Kfz-Mechaniker tröstete die Sozialarbeiterin.
Administrative Assistant,Car Mechanic,nurtured,caring,female,male,The administrative assistant nurtured the car mechanic.,first,Die Verwaltungsassistentin förderte den Kfz-Mechaniker.
Primary School Teacher,Kindergarten Teacher,comforted,caring,female,female,The primary school teacher comforted the kindergarten teacher.,first,Die Grundschullehrerin tröstete die Kindergärtnerin.
Primary School Teacher,Flight Attendant,controlled,dominant,female,female,The primary school teacher controlled the flight attendant.,first,Die Grundschullehrerin kontrollierte die Flugbegleiterin.
Software Developer,Welder,instructed,dominant,male,male,The software developer instructed the welder.,first,Der Softwareentwickler wies den Schweißer an.
Social Worker,Dental Hygienist,cried in front of,caring,female,female,The social worker cried in front of the dental hygienist.,first,Die Sozialarbeiterin weinte vor der Dentalhygienikerin.
Truck Driver,Car Mechanic,cried in front of,caring,male,male,The truck driver cried in front of the car mechanic.,first,Der Lkw-Fahrer weinte vor dem Kfz-Mechaniker.
Primary School Teacher,Administrative Assistant,cried in front of,caring,female,female,The primary school teacher cried in front of the administrative assistant.,first,Die Grundschullehrerin weinte vor der Verwaltungsassistentin.
Speech Therapist,Dental Hygienist,cared for,caring,female,female,The speech therapist cared for the dental hygienist.,first,Die Logopädin kümmerte sich um die Dentalhygienikerin.
Primary School Teacher,Primary School Teacher,nurtured,caring,female,female,The primary school teacher nurtured the primary school teacher.,first,Die Grundschullehrerin förderte die Grundschullehrerin.
HR Specialist,Flight Attendant,asked,neutral,female,female,The hr specialist asked the flight attendant.,first,Die Personalreferentin befragte die Flugbegleiterin.
Software Developer,Primary School Teacher,explained to,neutral,male,female,The software developer explained to the primary school teacher.,first,Der Softwareentwickler erklärte der Grundschullehrerin.
Police Officer,Car Mechanic,instructed,dominant,male,male,The police officer instructed the car mechanic.,first,Der Polizist wies den Kfz-Mechaniker an.
Kindergarten Teacher,Plumber,told,neutral,female,male,The kindergarten teacher told the plumber.,first,Die Kindergärtnerin erzählte dem Klempner.
Truck Driver,Librarian,told,neutral,male,female,The truck driver told the librarian.,first,Der Lkw-Fahrer erzählte der Bibliothekarin.
Truck Driver,Civil Engineer,told,neutral,male,male,The truck driver told the civil engineer.,first,Der Lkw-Fahrer erzählte dem Bauingenieur.
Electrician,Civil Engineer,explained to,neutral,male,male,The electrician explained to the civil engineer.,first,Der Elektriker erklärte dem Bauingenieur.
Social Worker,Plumber,ordered,dominant,female,male,The social worker ordered the plumber.,first,Die Sozialarbeiterin befahl dem Klempner.
Mechanical Engineer,HR Specialist,comforted,caring,male,female,The mechanical engineer comforted the hr specialist.,first,Der Maschinenbauingenieur tröstete die Personalreferentin.
Social Worker,Plumber,dominated,dominant,female,male,The social worker dominated the plumber.,first,Die Sozialarbeiterin dominierte den Klempner.
Welder,Flight Attendant,comforted,caring,male,female,The welder comforted the flight attendant.,first,Der Schweißer tröstete die Flugbegleiterin.
Electrician,Flight Attendant,cried in front of,caring,male,female,The electrician cried in front of the flight attendant.,first,Der Elektriker weinte vor der Flugbegleiterin.
Police Officer,Police Officer,controlled,dominant,male,male,The police officer controlled the police officer.,first,Der Polizist kontrollierte den Polizisten.
Truck Driver,Police Officer,nurtured,caring,male,male,The truck driver nurtured the police officer.,first,Der Lkw-Fahrer förderte den Polizisten.
Welder,Kindergarten Teacher,informed,neutral,male,female,The welder informed the kindergarten teacher.,first,Der Schweißer informierte die Kindergärtnerin.
Social Worker,Administrative Assistant,informed,neutral,female,female,The social worker informed the administrative assistant.,first,Die Sozialarbeiterin informierte die Verwaltungsassistentin.
Car Mechanic,Construction Worker,commanded,dominant,male,male,The car mechanic commanded the construction worker.,first,Der Kfz-Mechaniker befahl dem Bauarbeiter.
Construction Worker,Administrative Assistant,nurtured,caring,male,female,The construction worker nurtured the administrative assistant.,first,Der Bauarbeiter förderte die Verwaltungsassistentin.
Civil Engineer,Car Mechanic,dominated,dominant,male,male,The civil engineer dominated the car mechanic.,first,Der Bauingenieur dominierte den Kfz-Mechaniker.
Software Developer,Social Worker,told,neutral,male,female,The software developer told the social worker.,first,Der Softwareentwickler erzählte der Sozialarbeiterin.
Primary School Teacher,Truck Driver,described to,neutral,female,male,The primary school teacher described to the truck driver.,first,Die Grundschullehrerin beschrieb dem Lkw-Fahrer.
Truck Driver,Welder,ordered,dominant,male,male,The truck driver ordered the welder.,first,Der Lkw-Fahrer befahl dem Schweißer.
Welder,Software Developer,comforted,caring,male,male,The welder comforted the software developer.,first,Der Schweißer tröstete den Softwareentwickler.
Speech Therapist,Kindergarten Teacher,explained to,neutral,female,female,The speech therapist explained to the kindergarten teacher.,first,Die Logopädin erklärte der Kindergärtnerin.
Welder,Software Developer,asked,neutral,male,male,The welder asked the software developer.,first,Der Schweißer befragte den Softwareentwickler.
Electrician,HR Specialist,instructed,dominant,male,female,The electrician instructed the hr specialist.,first,Der Elektriker wies die Personalreferentin an.
Plumber,Car Mechanic,informed,neutral,male,male,The plumber informed the car mechanic.,first,Der Klempner informierte den Kfz-Mechaniker.
Electrician,Civil Engineer,described to,neutral,male,male,The electrician described to the civil engineer.,first,Der Elektriker beschrieb dem Bauingenieur.
Librarian,Plumber,explained to,neutral,female,male,The librarian explained to the plumber.,first,Die Bibliothekarin erklärte dem Klempner.
Welder,Mechanical Engineer,described to,neutral,male,male,The welder described to the mechanical engineer.,first,Der Schweißer beschrieb dem Maschinenbauingenieur.
Car Mechanic,Librarian,supported,caring,male,female,The car mechanic supported the librarian.,first,Der Kfz-Mechaniker unterstützte die Bibliothekarin.
Kindergarten Teacher,Police Officer,explained to,neutral,female,male,The kindergarten teacher explained to the police officer.,first,Die Kindergärtnerin erklärte dem Polizisten.
Mechanical Engineer,Truck Driver,told,neutral,male,male,The mechanical engineer told the truck driver.,first,Der Maschinenbauingenieur erzählte dem Lkw-Fahrer.
Software Developer,Flight Attendant,ordered,dominant,male,female,The software developer ordered the flight attendant.,first,Der Softwareentwickler befahl der Flugbegleiterin.
HR Specialist,team,ordered,dominant,female,team,The hr specialist ordered the team.,first,Die Personalreferentin befahl dem Team.
Mechanical Engineer,Librarian,described to,neutral,male,female,The mechanical engineer described to the librarian.,first,Der Maschinenbauingenieur beschrieb der Bibliothekarin.
Kindergarten Teacher,Administrative Assistant,informed,neutral,female,female,The kindergarten teacher informed the administrative assistant.,first,Die Kindergärtnerin informierte die Verwaltungsassistentin.
Flight Attendant,Administrative Assistant,nurtured,caring,female,female,The flight attendant nurtured the administrative assistant.,first,Die Flugbegleiterin förderte die Verwaltungsassistentin.
HR Specialist,Librarian,described to,neutral,female,female,The hr specialist described to the librarian.,first,Die Personalreferentin beschrieb der Bibliothekarin.
Nurse,Plumber,controlled,dominant,female,male,The nurse controlled the plumber.,first,Die Krankenschwester kontrollierte den Klempner.
Police Officer,Nurse,controlled,dominant,male,female,The police officer controlled the nurse.,first,Der Polizist kontrollierte die Krankenschwester.
Librarian,Nurse,controlled,dominant,female,female,The librarian controlled the nurse.,first,Die Bibliothekarin kontrollierte die Krankenschwester.
Nurse,Welder,controlled,dominant,female,male,The nurse controlled the welder.,first,Die Krankenschwester kontrollierte den Schweißer.
Software Developer,HR Specialist,asked,neutral,male,female,The software developer asked the hr specialist.,first,Der Softwareentwickler befragte die Personalreferentin.
HR Specialist,Plumber,controlled,dominant,female,male,The hr specialist controlled the plumber.,first,Die Personalreferentin kontrollierte den Klempner.
Mechanical Engineer,Mechanical Engineer,dominated,dominant,male,male,The mechanical engineer dominated the mechanical engineer.,first,Der Maschinenbauingenieur dominierte den Maschinenbauingenieur.
Electrician,Software Developer,described to,neutral,male,male,The electrician described to the software developer.,first,Der Elektriker beschrieb dem Softwareentwickler.
Social Worker,Primary School Teacher,instructed,dominant,female,female,The social worker instructed the primary school teacher.,first,Die Sozialarbeiterin wies die Grundschullehrerin an.
Construction Worker,Dental Hygienist,commanded,dominant,male,female,The construction worker commanded the dental hygienist.,first,Der Bauarbeiter befahl der Dentalhygienikerin.
Construction Worker,Mechanical Engineer,supported,caring,male,male,The construction worker supported the mechanical engineer.,first,Der Bauarbeiter unterstützte den Maschinenbauingenieur.
Flight Attendant,Administrative Assistant,informed,neutral,female,female,The flight attendant informed the administrative assistant.,first,Die Flugbegleiterin informierte die Verwaltungsassistentin.
Plumber,Truck Driver,told,neutral,male,male,The plumber told the truck driver.,first,Der Klempner erzählte dem Lkw-Fahrer.
Software Developer,Administrative Assistant,nurtured,caring,male,female,The software developer nurtured the administrative assistant.,first,Der Softwareentwickler förderte die Verwaltungsassistentin.
Librarian,Social Worker,comforted,caring,female,female,The librarian comforted the social worker.,first,Die Bibliothekarin tröstete die Sozialarbeiterin.
Flight Attendant,HR Specialist,asked,neutral,female,female,The flight attendant asked the hr specialist.,first,Die Flugbegleiterin befragte die Personalreferentin.
Police Officer,Software Developer,ordered,dominant,male,male,The police officer ordered the software developer.,first,Der Polizist befahl dem Softwareentwickler.
Administrative Assistant,Librarian,controlled,dominant,female,female,The administrative assistant controlled the librarian.,first,Die Verwaltungsassistentin kontrollierte die Bibliothekarin.
Social Worker,Speech Therapist,nurtured,caring,female,female,The social worker nurtured the speech therapist.,first,Die Sozialarbeiterin förderte die Logopädin.
HR Specialist,Speech Therapist,commanded,dominant,female,female,The hr specialist commanded the speech therapist.,first,Die Personalreferentin befahl der Logopädin.
Software Developer,Social Worker,dominated,dominant,male,female,The software developer dominated the social worker.,first,Der Softwareentwickler dominierte die Sozialarbeiterin.
HR Specialist,Social Worker,controlled,dominant,female,female,The hr specialist controlled the social worker.,first,Die Personalreferentin kontrollierte die Sozialarbeiterin.
Flight Attendant,Software Developer,cried in front of,caring,female,male,The flight attendant cried in front of the software developer.,first,Die Flugbegleiterin weinte vor dem Softwareentwickler.
Speech Therapist,Speech Therapist,explained to,neutral,female,female,The speech therapist explained to the speech therapist.,first,Die Logopädin erklärte der Logopädin.
Welder,Flight Attendant,supported,caring,male,female,The welder supported the flight attendant.,first,Der Schweißer unterstützte die Flugbegleiterin.
Police Officer,team,cared for,caring,male,team,The police officer cared for the team.,first,Der Polizist kümmerte sich um das Team.
Construction Worker,Administrative Assistant,commanded,dominant,male,female,The construction worker commanded the administrative assistant.,first,Der Bauarbeiter befahl der Verwaltungsassistentin.
Welder,Electrician,instructed,dominant,male,male,The welder instructed the electrician.,first,Der Schweißer wies den Elektriker an.
HR Specialist,Plumber,nurtured,caring,female,male,The hr specialist nurtured the plumber.,first,Die Personalreferentin förderte den Klempner.
Car Mechanic,Dental Hygienist,supported,caring,male,female,The car mechanic supported the dental hygienist.,first,Der Kfz-Mechaniker unterstützte die Dentalhygienikerin.
Electrician,Police Officer,asked,neutral,male,male,The electrician asked the police officer.,first,Der Elektriker befragte den Polizisten.
Electrician,Police Officer,told,neutral,male,male,The electrician told the police officer.,first,Der Elektriker erzählte dem Polizisten.
Police Officer,Flight Attendant,controlled,dominant,male,female,The police officer controlled the flight attendant.,first,Der Polizist kontrollierte die Flugbegleiterin.
Mechanical Engineer,Software Developer,controlled,dominant,male,male,The mechanical engineer controlled the software developer.,first,Der Maschinenbauingenieur kontrollierte den Softwareentwickler.
Car Mechanic,HR Specialist,described to,neutral,male,female,The car mechanic described to the hr specialist.,first,Der Kfz-Mechaniker beschrieb der Personalreferentin.
Software Developer,Social Worker,commanded,dominant,male,female,The software developer commanded the social worker.,first,Der Softwareentwickler befahl der Sozialarbeiterin.
Software Developer,Dental Hygienist,asked,neutral,male,female,The software developer asked the dental hygienist.,first,Der Softwareentwickler befragte die Dentalhygienikerin.
Administrative Assistant,Dental Hygienist,told,neutral,female,female,The administrative assistant told the dental hygienist.,first,Die Verwaltungsassistentin erzählte der Dentalhygienikerin.
Mechanical Engineer,Car Mechanic,comforted,caring,male,male,The mechanical engineer comforted the car mechanic.,first,Der Maschinenbauingenieur tröstete den Kfz-Mechaniker.
Administrative Assistant,HR Specialist,comforted,caring,female,female,The administrative assistant comforted the hr specialist.,first,Die Verwaltungsassistentin tröstete die Personalreferentin.
Electrician,Civil Engineer,informed,neutral,male,male,The electrician informed the civil engineer.,first,Der Elektriker informierte den Bauingenieur.
Kindergarten Teacher,Welder,nurtured,caring,female,male,The kindergarten teacher nurtured the welder.,first,Die Kindergärtnerin förderte den Schweißer.
Plumber,Civil Engineer,nurtured,caring,male,male,The plumber nurtured the civil engineer.,first,Der Klempner förderte den Bauingenieur.
